Country,Broadcaster / Magazine,Name ( with English translation where applicable ),Winner,Airdate
Argentina,Telefe,El Gen Argentino ( The Argentine Gene ),José de San Martín,October 2007
Australia,ABC,The Greatest of All - Our 50 Top Australians,Howard Walter Florey,
Bangladesh / India,BBC Bengali,Greatest Bengali of all time,Sheikh Mujibur Rahman,March/April 2004
Belgium,Het Nieuwsblad,Belg der Belgen,Father Damien,
"Flanders , Belgium",VRT,De Grootste Belg ( The Greatest Belgian ),Father Damien,December 2005
"Wallonia , Belgium",RTBF,Le plus grand belge ( The Greatest Belgian ),Jacques Brel,December 2005
Brazil,SBT,O Maior Brasileiro de Todos os Tempos ( The Greatest Brazilian of All Time ),Chico Xavier,October 2012
Bulgaria,BNT Channel 1,Velikite Balgari ( The Great Bulgarians ),Vasil Levski,February 2007
Canada,CBC,The Greatest Canadian,Tommy Douglas,October 2004
Catalonia,TV3,El Favorit ( The Favorite ),Jaume I,
Chile,TVN,Grandes Chilenos ( Great Chileans ),Salvador Allende,
Colombia,History Channel,El Gran Colombiano ( The Great Colombian ),Álvaro Uribe,June 2013
Croatia,Nacional,Greatest Croatian,Josip Broz Tito,2003
Czech Republic,ČT,Největší Čech ( The Greatest Czech ),"Charles IV , Holy Roman Emperor",May/June 2005
Europe,,Europe 's 100 Most Influential,,ongoing
Finland,YLE,Suuret Suomalaiset ( Great Finns ),Carl Gustaf Emil Mannerheim,2004
France,France 2,Le Plus Grand Français ( The Greatest Frenchman ),Charles de Gaulle,April 2005
Georgia,GPB,საქართველოს დიდი ათეული ( Our Best ),David IV of Georgia ( at the ending of the voting ),2008 ( broadcasting was stopped )
Germany,ZDF,Unsere Besten ( Our Best ),Konrad Adenauer,November 2003
Greece,Skai TV,Great Greeks ( Megaloi Ellēnes ),Alexander the Great,January 2009
