Postcode district,Post town,Coverage,Local authority area
KW1,WICK,"John O'Groats , Keiss",Highland
KW2,LYBSTER,Caithness,Highland
KW3,LYBSTER,Caithness,Highland
KW5,LATHERON,Caithness,Highland
KW6,DUNBEATH,Caithness,Highland
KW7,BERRIEDALE,Caithness,Highland
KW8,HELMSDALE,Sutherland,Highland
KW9,BRORA,Sutherland,Highland
KW10,GOLSPIE,Sutherland,Highland
KW11,KINBRACE,Sutherland,Highland
KW12,HALKIRK,Caithness,Highland
KW13,FORSINARD,Sutherland,Highland
KW14,THURSO,Caithness,Highland
KW15,KIRKWALL,"Kirkwall , St Ola",Orkney Islands
KW16,STROMNESS,"Stromness , Hoy , Flotta , Graemsay , Sandwick , Stenness",Orkney Islands
KW17,ORKNEY,"Most of Mainland , all of the north isles , Burray , South Ronaldsay",Orkney Islands
