Name,Class year ( s ),Degree ( s ),Notability
David B. Barlow,1995,B.A,U.S. District Judge for the U.S. District Court for the District of Utah
Dee Benson,1973 1976,B.A . J.D . ( Clark ),Judge of the Foreign Intelligence Surveillance Court
Roger L. Hunt,1966,B.A,Former Chief U.S. District Judge for the U.S. District Court for the District of Nevada
Lloyd D. George,1955,B.S,Former Chief U.S. District Judge for the U.S. District Court for the District of Nevada ; Lloyd D. George Federal Courthouse namesake
Robert Clive Jones,1971,B.S,Former Chief U.S. District Judge for the U.S. District Court for the District of Nevada
Michael W. Mosman,1984,J.D . ( Clark ),Chief U.S. District Judge for the U.S. District Court for the District of Oregon
Howard C. Nielson Jr,1992,B.A,U.S. District Judge for the U.S. District Court for the District of Utah
David Nuffer,1975 1978,B.A . J.D . ( Clark ),Chief U.S. District Judge for the U.S. District Court for the District of Utah
David Nye,1982 1986,B.A . J.D . ( Clark ),U.S. District Judge of the United States District Court for the District of Idaho
G. Murray Snow,1984 1987,B.A . J.D . ( Clark ),U.S. District Judge for the U.S. District Court for the District of Arizona
Clark Waddoups,1970,B.A,U.S. District Judge for the U.S. District Court for the District of Utah
