City served / Location,Region,ICAO,IATA,Airport name
Aishalton,Upper Takutu-Upper Essequibo,SYAH,AHL,Aishalton Airport
Annai,Upper Takutu-Upper Essequibo,SYAN,NAI,Annai Airport
Apoteri,Upper Takutu-Upper Essequibo,SYAP,,Apoteri Airport
Awaruwaunau ( Awaruwaunawa ),Upper Takutu-Upper Essequibo,SYAW,,Awaruwaunau Airport
Baramita,Barima-Waini,SYBR,BMJ,Baramita Airport
Bartica,Cuyuni-Mazaruni,SYBT,GFO,Bartica Airport
Ebini,Upper Demerara-Berbice,SYEB,,Ebini Airport
Georgetown,Demerara-Mahaica,SYCJ,GEO,Cheddi Jagan International Airport
Georgetown /Ogle,Demerara-Mahaica,SYEC,OGL,Eugene F. Correia International Airport
Imbaimadai,Cuyuni-Mazaruni,SYIB,IMB,Imbaimadai Airport
Kaieteur National Park,Potaro-Siparuni,SYKA,KAI,Kaieteur International Airport
Kamarang,Cuyuni-Mazaruni,SYKM,KAR,Kamarang Airport
Karanambo,Upper Takutu-Upper Essequibo,SYKR,KRM,Karanambo Airport
Karasabai,Upper Takutu-Upper Essequibo,SYKS,KRG,Karasabai Airport
Kato,Potaro-Siparuni,SYKT,KTO,Kato Airport
Kurukabaru,Potaro-Siparuni,SYKK,,Kurukabaru Airport
Lethem,Upper Takutu-Upper Essequibo,SYLT,LTM,Lethem Airport
Linden,Upper Demerara-Berbice,SYLD,,Linden Airport
Lumid Pau ( Lumidpau ),Upper Takutu-Upper Essequibo,SYLP,LUB,Lumid Pau Airport
Mabaruma,Barima-Waini,SYMB,USI,Mabaruma Airport
