Name,Chartered,Institution,Location,Status
Alpha Alpha Epsilon,1990,University of Arizona,"Tucson , AZ",Active
Alpha Alpha Zeta,1990,University of Idaho,"Moscow , ID",Inactive
Alpha Alpha Eta,1992,Sonoma State University,"Sonoma , CA",Inactive
Alpha Beta Alpha,1999,Washington State University,"Pullman , WA",Inactive
Alpha Iota Alpha,,University of Montana,"Missoula , MT",Inactive
Alpha Theta Alpha,,University of Oregon,"Eugene , OR",Inactive
Alpha Upsilon,1946,Cal State Dominguez Hills,"Los Angeles , CA",Active
Beta Beta Epsilon,,"California State University , Bakersfield","Bakersfield , CA",Inactive
Beta Omicron,1948,"Seattle , WA","Seattle , WA",Inactive
Beta Tau,Re-Chartered in 2004,Stanford University,"Stanford , CA",Inactive
Gamma Alpha Lambda,2010,"University of Nevada , Reno","Reno , NV",Active
Gamma Delta,,University of Denver,"Denver , CO",Inactive
Gamma Epsilon Gamma,2014,"Honolulu , HI","Honolulu , HI",Active
Gamma Xi,1957,California State University at Fresno,"Fresno , CA",Active
Gamma Upsilon Gamma,2019,Oregon State University,"Corvallis , OR",Active
Delta Beta,1965,"California State University , East Bay , University of California , Berkeley","Hayward , CA",Active
Delta Gamma,1964,"California State University , Los Angeles","Los Angeles , CA",Active
Delta Lambda,,University of Redlands,"Redlands , CA",Inactive
Zeta Pi,1974,Loyola Marymount University,"Los Angeles , CA",Inactive
Zeta Tau,1975,"California State University , Long Beach","Long Beach , CA",Inactive
