Rank,Name,Nation,TFP,SP,FS
1,Alexei Urmanov,Russia,1.5,1,1
2,Michael Shmerkin,Israel,4.5,3,3
3,Éric Millot,France,5.0,6,2
4,Scott Davis,United States,5.0,2,4
5,Steven Cousins,United Kingdom,7.0,4,5
6,Viacheslav Zagorodniuk,Ukraine,8.5,5,6
7,Dmitri Dmitrenko,Ukraine,10.5,7,7
8,Sébastien Britten,Canada,12.5,9,8
9,Cornel Gheorghe,Romania,14.0,10,9
10,Andrejs Vlascenko,Germany,14.0,8,10
11,Szabolcs Vidrai,Hungary,18.5,15,11
12,Thierry Cerez,France,18.5,13,12
13,Jean-Francois Hebert,Canada,19.0,12,13
14,Naoki Shigematsu,Japan,20.5,11,15
15,Markus Leminen,Finland,21.0,14,14
