Athlete,Country,Wins,Years
Thomas Nyariki,Kenya,4,"1997 , 1998 , 1999 , 2002"
Josphat Kiprono Menjo,Kenya,4,"2008 , 2009 , 2011 , 2012"
Fernando Mamede,Portugal,3,"1980 , 1981 , 1983"
Aurora Cunha,Portugal,3,"1982 , 1983 , 1984"
Wendy Smith-Sly,United Kingdom,2,"1980 , 1981"
Frank Zimmermann,Germany,2,"1979 , 1984"
Rosa Mota,Portugal,2,"1978 , 1985"
António Leitão,Portugal,2,"1985 , 1986"
José Regalo,Portugal,2,"1988 , 1989"
Ondoro Osoro,Kenya,2,"1993 , 1994"
Catherina McKiernan,Ireland,2,"1991 , 1994"
Gabriela Szabo,Romania,2,"1995 , 1996"
Patrick Ivuti,Kenya,2,"2001 , 2003"
Jeļena Prokopčuka,Latvia,2,"2006 , 2009"
Gorreti Chepkoech,Kenya,2,"2012 , 2013"
