Year,1st,2nd,3rd
1999,Redlands,Shore,Cranbrook
2000,King 's,Shore,Grammar
2001,St Ignatius ',King 's,Newington
2002,King 's,Grammar,St Ignatius '
2003,King 's,St Ignatius ',Redlands
2004,Shore,St Ignatius ',St Joseph 's
2005,Shore,St Ignatius ',King 's
2006,King 's,St Joseph 's,Redlands
2007,Shore,Redlands,Newington
2008,Shore,St Ignatius ',King 's
2009,Shore,Redlands,St Ignatius '
2010,King 's,Scots,St Ignatius '
2011,King 's,St Ignatius ',St Augustine 's
2012,King 's,St Ignatius ',St Joseph 's
2013,St Augustine 's,Shore,St Ignatius '
2014,St Augustine 's,St Joseph 's,Newington
2015,St Augustine 's,King 's,St Ignatius
2018,King 's,Shore,Newington
