Name of system,Location,Traction type,Date ( from ),Date ( to ),Notes
Trams in Barnaul,Barnaul ( Барнаул ),Electric,7 Nov 1948,-,"Gauge : 1,524 mm ( 5 ft ) Express tramway opened 26 September 1985"
Trams in Biysk,Biysk ( Бийск ),Electric,13 Jun 1960,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Irkutsk,Irkutsk ( Иркутск ),Electric,3 Aug 1947,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Angarsk,♦ Angarsk ( Ангарск ),Electric,26 Nov 1953,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Usolye Sibirskoye,♦ Usolye Sibirskoye ( Усолье-Сибирское ),Electric,26 Feb 1967,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Kemerovo,Kemerovo ( Кемерово ),Electric,11 May 1940,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Cheryomushki,Cheryomushki ( Черёмушки ) ( Sayano-Shushenskaya Dam ),Electric,Feb 1991,-,"Gauge : 1,524 mm ( 5 ft ) Connects railway station with hydropower dam and generating station"
Trams in Krasnoyarsk,Krasnoyarsk ( Красноярск ),Electric,1 May 1958,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Achinsk,Achinsk ( Ачинск ),Electric,15 Apr 1967,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Novokuznetsk,Novokuznetsk ( Новокузнецк ),Electric,30 Nov 1933,-,"Gauge : 1,524 mm ( 5 ft ) Unconnected line on the right bank of the river Tom ( Томь ) opened 30 November 1969"
Trams in Osinniki,♦ Osinniki ( Осинники ),Electric,1 Nov 1960,-,"Gauge : 1,524 mm ( 5 ft ) Unconnected line in southern extremity , extending from Kaltan ( Калтан ) railway station , 1957-1963 ( ? )"
Trams in Prokopyevsk,♦ Prokopyevsk ( Прокопьевск ),Electric,12 May 1936,-,"Gauge : 1,524 mm ( 5 ft ) Unconnected line in eastern extremity opened 5 November 1956 , connected with main Prokopyevsk system 1964"
Trams in Novosibirsk,Novosibirsk ( Новосибирск ),Electric,26 Nov 1934,-,"Gauge : 1,524 mm ( 5 ft ) Unconnected lines on the left bank of the river Ob ( Обь ) opened 4 May 1941 . Tramway service across river Ob , 1955-1992"
Trams in Omsk,Omsk ( Омск ),Electric,8 Nov 1936,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Tomsk,Tomsk ( Томск ),Electric,25 Apr 1949,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Ulan-Ude,Ulan-Ude ( Улан-Удэ ),Electric,16 Dec 1958,-,"Gauge : 1,524 mm ( 5 ft )"
Trams in Ust-Ilimsk,Ust-Ilimsk ( Усть-Илимск ),Electric,15 Sep 1988,-,"Gauge : 1,524 mm ( 5 ft ) Express tramway"
