Team,Head coach,Captain,Kit manufacturer,Main shirt sponsor
AIK,Andreas Alm,Nils-Eric Johansson,Adidas,Åbro
BK Häcken,Peter Gerhardsson,Martin Ericsson,Nike,BRA Bygg
Djurgårdens IF,Per Olsson,Andreas Johansson,Adidas,Prioritet Finans
Falkenbergs FF,Henrik Larsson,David Svensson,Nike,Gekås Ullared
Gefle IF,Roger Sandberg,Marcus Hansson,Umbro,Sandvik
Halmstads BK,Jens Gustafsson,Richard Magyar,Puma,Various
Helsingborgs IF,Roar Hansen,Peter Larsson,Puma,Resurs Bank
IF Brommapojkarna,Stefan Billborn,Jacob Une Larsson,Adidas,Santander Group
IF Elfsborg,Janne Mian,Johan Larsson,Umbro,Various
IFK Göteborg,Mikael Stahre,Mattias Bjärsmyr,Adidas,Prioritet Finans
IFK Norrköping,Janne Andersson,Andreas Johansson,Nike,Holmen
Kalmar FF,Hans Eklund,David Elm,Puma,Småländska Hjältevadshus
Malmö FF,Åge Hareide,Guillermo Molins,Puma,Rörläggaren
Mjällby AIF,Anders Linderoth,Mattias Asper,Puma,Various
Åtvidabergs FF,Peter Swärdh,Daniel Hallingström,Uhlsport,Åtvidabergs Sparbank
Örebro SK,Alexander Axén,Magnus Wikström,Puma,Various
