Title,Russian title,Director,Cast,Genre
Antikiller,Антикиллер,Egor Konchalovsky,"Gosha Kutsenko , Mikhail Ulyanov",Crime
Azazel,Азазель,Aleksandr Adabashyan,"Ilya Noskov , Kirill Pirogov , Sergey Bezrukov",Crime
Bear 's Kiss,Медвежий поцелуй,Sergei Bodrov,"Rebecka Liljeberg , Sergei Bodrov Jr. , Joachim Król",Drama
Brigada,Бригада,Aleksei Sidorov,"Sergey Bezrukov , Dmitri Dyuzhev , Vladimir Vdovichenkov",Crime
Cinderella,Золушка,Semyon Gorov,"Yulia Mavrina , Nikolay Baskov , Valery Leontiev , Valery Meladze",Musical
Chekhov 's Motifs,Чеховские мотивы,Kira Muratova,"Sergey Bekhterev , Nina Ruslanova",Comedy
Cuckoo,Кукушка,Aleksandr Rogozhkin,"Anni-Kristiina Juuso , Ville Haapasalo , Viktor Bychkov",War
House of Fools,Дом дураков,Andrei Konchalovsky,"Julia Visotskaya , Sultan Islamov , Yevgeni Mironov",War
In Motion,В движении,Filipp Yankovsky,"Konstantin Khabensky , Elena Perova , Oksana Fandera",Drama
Russian Ark,Русский ковчег,Alexander Sokurov,Sergei Dreiden,History
The Star,Звезда,Nikolai Lebedev,Igor Petrenko,War
Stereoblood,Одиночество крови,Roman Prygunov,"Ingeborga Dapkunaite , Gosha Kutsenko",Thriller
War,Война,Aleksei Balabanov,"Ian Kelly , Aleksey Chadov",War
