Member state,Representative,Title,Political party,Member of the Council since
Austria,Sebastian Kurz,Chancellor,ÖVP,7 January 2020
Bulgaria,Boyko Borissov,Prime Minister,GERB,7 November 2014
Croatia,Andrej Plenković,Prime Minister,HDZ,19 October 2016
Cyprus,Nicos Anastasiades,President,DISY,28 February 2013
Germany,Angela Merkel,Chancellor,CDU,22 November 2005
Greece,Kyriakos Mitsotakis,Prime Minister,ND,8 July 2019
Hungary,Viktor Orbán,Prime Minister,Fidesz,29 May 2010
Ireland,Leo Varadkar,Taoiseach,Fine Gael,22 June 2017
Latvia,Arturs Krišjānis Kariņš,Prime Minister of Latvia,Unity,23 January 2019
Romania,Klaus Iohannis,President,PNL,21 December 2014
Slovakia,Igor Matovič,Prime Minister,OĽaNO,21 March 2020
Slovenia,Janez Janša,Prime minister,SDS,13 March 2020
