Artist,Song Title,AU
3OH ! 3,Do n't Trust Me,Yes
A. R. Rahman feat . The Pussycat Dolls,Jai Ho,Yes
Alex Lloyd,Amazing,Yes
Ben Lee,Catch My Disease,Yes
Colbie Caillat,Fallin ' for You,Yes
Empire of the Sun,Walking on a Dream,Yes
George Michael,Outside,Yes
Guy Sebastian feat . Jordin Sparks,Art of Love,Yes
Kate Miller-Heidke,The Last Day on Earth,Yes
La Roux,Bulletproof,Yes
Lady Gaga,Poker Face,Yes
The Last Goodnight,Pictures of You,Yes
The Living End,White Noise,Yes
Michael Bublé,Have n't Met You Yet,Yes
Mika,We Are Golden,Yes
Milli Vanilli,Blame It on the Rain,Yes
Natalie Bassingthwaighte,Alive,Yes
Nelly Furtado,Turn Off the Light,Yes
Pixie Lott,Boys and Girls,Yes
The Presets,This Boy 's in Love,Yes
