Genus,Status,Age,Location,Unit
Acaenasuchus,Valid,Norian,USA,Chinle Group
Acompsosaurus,Nomen dubium,Late Triassic,USA,Chinle Formation
Adamanasuchus,Valid,Carnian,USA,Chinle Formation
Aetobarbakinoides,Valid,Carnian - Norian,Brazil,Santa Maria Formation
Aetosauroides,Valid,Carnian - Norian,Argentina Brazil,Ischigualasto Formation Santa Maria Formation
Aetosaurus,Valid,Norian,Germany Italy Greenland,Lower Stubensandtein Calcare di Zorzino Formation Fleming Fjord Formation
Apachesuchus,Valid,late Norian - Rhaetian,US,Redonda Formation
Argentinosuchus,Nomen dubium,Carnian - Norian,Argentina,Ischigualasto Formation
Calyptosuchus,Valid,Late Triassic,USA,Dockum Group
Chilenosuchus,Valid,Late Triassic,Chile,
Coahomasuchus,Valid,Carnian,USA,Dockum Group Pekin Formation
Desmatosuchus,Valid,Carnian - Norian,USA,Dockum Group
Gorgetosuchus,Valid,Late Triassic,USA,Pekin Formation
Longosuchus,Valid,Carnian,USA,Dockum Group Timesgadiouine Formation
Lucasuchus,Valid,Norian,USA,Bull Canyon Formation Pekin Formation
Neoaetosauroides,Valid,Norian,Argentina,Los Colorados Formation
Paratypothorax,Valid,Carnian - Rhaetian,Germany USA Greenland,Lower Stubensandstein Chinle Group Fleming Fjord Formation
Redondasuchus,Valid,Norian,USA,Redonda Formation
Rioarribasuchus,Valid,Carnian,USA,Chinle Formation
