Player,Position,Caps,Club
Alen Cosovic,Hooker,4,Rugby Club Rad
Vlastimir Sretenovic,Hooker,19,Belgrade Rugby Club Red Star
Bojan Lukic,Hooker,15,Vienna Celtic Rugby Football Club
Vladimir Djukic,Prop,40,Rugby Club Rad
Bosko Jovanovic,Prop,5,Châteaurenard
Vid Pejovic,Prop,5,Rugby Club Dinamo
Uros Martinovic,Prop,4,Belgrade Rugby Club Red Star
Predrag Vraneš,Prop,23,Rugby Club Rad
Goran Porobic,Lock,2,Rugby Club Vojvodina
Thomas Cvijanovic,Lock,6,Vale of Lune RFC
Aleksandar Krstic,Lock,22,Rugby Club Partizan
Đorđe Preradojevic,Lock,9,Rugby Club Partizan
Vladimir Mijatovic,Lock,5,Rugby Club Vojvodina
Mirko Rankovic,Lock,15,Rugby Club Rad
Marko Gvozdenovic,Flanker,6,Massy RC
Stanislav LJubicic,Flanker,7,Rugby Club Rad
Milan Marinkovic,Flanker,15,GHA RFC
Stefan DJordjevic,Flanker,7,Rugby Club Partizan
Boris Martic,Number 8,36,RC Jacou Montpellier Nord
Julien Matijasevic,Scrum-half,7,Sporting Tulle
