Season,Finals MVP,Team
2002-03,Dejan Tomašević,Valencia
2003-04,Kelly McCarty,Hapoel Jerusalem
2004-05,Robertas Javtokas,Lietuvos Rytas
2005-06,Ruben Douglas,Dynamo Moscow
2006-07,Charles Smith,Real Madrid
2007-08,Rudy Fernández,Joventut Badalona
2008-09,Marijonas Petravičius,Lietuvos Rytas
2009-10,Matt Nielsen,Valencia
2010-11,Marko Popović,UNICS Kazan
2011-12,Zoran Planinić,Khimki
2012-13,Richard Hendrix,Lokomotiv Kuban
2013-14,Justin Doellman,Valencia
2014-15,Tyrese Rice,Khimki
2015-16,Stéphane Lasme,Galatasaray Odeabank
2016-17,Alberto Díaz,Unicaja
2017-18,Scottie Wilbekin,Darüşşafaka
2018-19,Will Thomas,Valencia Basket
