Dates,Tournament,Location,Prize fund ( ¥ ),Winner
Mar 2-4,Daikin Orchid Ladies,Okinawa,"80,000,000",Airi Saitoh ( 1 )
Mar 9-11,Yokohama Tire PRGR Ladies Cup,Kōchi,"80,000,000",Lee Bo-mee ( 1 )
Mar 16-18,T-Point Ladies,Kagoshima,"70,000,000",Lee Ji-hee ( 16 )
Mar 30 - Apr 1,Yamaha Ladies Open,Shizuoka,"100,000,000",Ritsuko Ryu ( 2 )
Apr 6-8,Studio Alice Women 's Open,Hyogo,"60,000,000",Miki Saiki ( 4 )
Apr 13-15,Nishijin Ladies Classic,Kumamoto,"70,000,000",Maiko Wakabayashi ( 2 )
Apr 20-22,Fujisankei Ladies Classic,Shizuoka,"80,000,000",Kaori Ohe ( 1 )
Apr 27-29,CyberAgent Ladies,Chiba,"70,000,000",Chie Arimura ( 11 )
May 3-6,World Ladies Championship Salonpas Cup,Ibaraki,"90,000,000",Ahn Sun-ju ( 9 )
May 11-13,Fundokin Ladies,Fukuoka,"80,000,000",Inbee Park ( 4 )
May 18-20,Chukyo TV Bridgestone Ladies Open,Aichi,"70,000,000",Lee Ji-hee ( 17 )
May 25-27,Yonex Ladies,Niigata,"60,000,000",Shanshan Feng ( 3 )
Jun 1-3,Resort Trust Ladies,Nagano,"70,000,000",Jeon Mi-jeong ( 18 )
Jun 7-10,Suntory Ladies Open,Hyogo,"100,000,000",Kim Hyo-joo ( am ) ( n/a )
Jun 15-17,Nichirei Ladies,Chiba,"80,000,000",Shin Hyun-ju ( 6 )
Jun 22-24,Earth Mondahmin Cup,Chiba,"100,000,000",Mayu Hattori ( 4 )
Jun 29 - Jul 1,Nichi-Iko Women 's Open,Toyama,"60,000,000",Jeon Mi-jeong ( 19 )
Jul 13-15,Stanley Ladies,Shizuoka,"90,000,000",Chie Arimura ( 12 )
Jul 20-22,Samantha Thavasa Girls Collection Ladies,Ibaraki,"60,000,000",Megumi Kido ( 1 )
Aug 3-5,Meiji Cup,Hokkaido,"90,000,000",Shanshan Feng ( 4 )
