Wei,Wu,Shu,Jin,Other
Cai Wenji,Daqiao,Bao Sanniang,Deng Ai,Chen Gong **
Cao Cao,Ding Feng,Fa Zheng **,Guo Huai,Diaochan
Cao Pi,Gan Ning,Guan Ping,Jia Chong *,Dong Zhuo
Cao Ren,Han Dang *,Guan Suo,Sima Shi,Lu Bu
Dian Wei,Huang Gai,Guan Xing *,Sima Yi,Lu Lingqi **
Guo Jia,Lianshi,Guan Yinping *,Sima Zhao,Meng Huo
Jia Xu,Ling Tong,Guan Yu,Wang Yuanji,Yuan Shao
Li Dian *,Lu Meng,Huang Zhong,Wen Yang *,Zhang Jiao
Pang De,Lu Su *,Jiang Wei,Xiahou Ba,Zhurong
Wang Yi,Lu Xun,Liu Bei,Zhang Chunhua *,Zuo Ci
Xiahou Dun,Sun Ce,Liu Shan,Zhong Hui,
Xiahou Yuan,Sun Jian,Ma Chao,Zhuge Dan,
Xu Huang,Sun Quan,Ma Dai,,
Xu Zhu,Sun Shangxiang,Pang Tong,,
Xun Yu ***,Taishi Ci,Wei Yan,,
Yu Jin **,Xiaoqiao,Xingcai,,
Yue Jin *,Zhou Tai,Xu Shu,,
Zhang He,Zhou Yu,Yueying,,
Zhang Liao,Zhu Ran **,Zhang Bao *,,
