Call sign,Frequency,City of license,State,FCC info
WMBV,91.9 FM,Dixons Mills,Alabama,FCC
WRNF,89.5 FM,Selma,Alabama,FCC
WMFT,88.9 FM,Tuscaloosa,Alabama,FCC
K204CE,88.7 FM,Clifton,Arizona,FCC
K216FX,91.1 FM,Mena,Arkansas,FCC
WRMB,89.3 FM,Boynton Beach,Florida,FCC
WHGN,91.9 FM,Crystal River,Florida,FCC
W263AH,100.5 FM,Fort Pierce,Florida,FCC
WKES,91.1 FM,Lakeland,Florida,FCC
WSOR,90.9 FM,Naples,Florida,FCC
W218BB,91.5 FM,Okeechobee,Florida,FCC
WKZM,104.3 FM,Sarasota,Florida,FCC
W212AC,90.3 FM,Stuart,Florida,FCC
K220EO,91.9 FM,Hilo,Hawaii,FCC
K217FR,91.3 FM,Bonners Ferry,Idaho,FCC
K279CN,103.7 FM,Kamiah,Idaho,FCC
K265AP,100.9 FM,Lewiston,Idaho,FCC
K213BN,90.5 FM,Orofino,Idaho,FCC
WMBI,1110 AM,Chicago,Illinois,FCC
WMBI-FM,90.1 FM,Chicago,Illinois,FCC
