Site,Municipality,Ref
Sorayama No . 2 Kofun 空山２号古墳 Sorayama ni-gō kofun,Tottori,[ 35 ]
Sorayama No . 10 Kofun 空山10号古墳 Sorayama jū-gō kofun,Tottori,[ 36 ]
Sorayama No . 15 Kofun 空山15号古墳 Sorayama jūgo-gō kofun,Tottori,[ 37 ]
Sorayama No . 16 Kofun 空山16号古墳 Sorayama jūroku-gō kofun,Tottori,[ 38 ]
Bōgazuka Kofun 坊ヶ塚古墳 Bōgazuka kofun,Tottori,[ 39 ]
Yamagahana Kofun 山ヶ鼻古墳 Yamagahana kofun,Tottori,[ 40 ]
Fukuba Kofun 福庭古墳 Fukuba kofun,Kurayoshi,[ 41 ]
Sagiyama Kofun 鷺山古墳 Sagiyama kofun,Tottori,[ 42 ]
Akoyama No . 22 Kofun 阿古山２２号古墳 Akoyama nijūni-gō kofun,Tottori,[ 43 ]
Idekamiiwa Kofun 出上岩屋古墳 Idekamiiwa kofun,Kotoura,[ 44 ]
Iwayanaru Kofun 岩屋平ル古墳 Iwayanaru kofun,Daisen,[ 45 ]
Takata No . 26 Tumulus 高田２６号墳 Takata nijūroku-gō fun,Daisen,[ 46 ]
Ishizuka Haiji Pagoda Site 石塚廃寺塔跡 Ishizuka Haiji tō ato,Kurayoshi,[ 47 ]
Tenjinyama Castle Site 天神山城 跡 Tenjinyama-jō ato,Tottori,[ 48 ]
Dainichiji Kofun Cluster 大日寺古墓群 Dainichiji kofun-gun,Kurayoshi,[ 49 ]
Kaneda Tile Kiln Site 金田瓦窯跡 Kaneda kawara kama ato,Nanbu,[ 50 ]
Futagamiyama Castle Site 二上山城 跡 Futagamiyama-jō ato,Iwami,[ 51 ]
Ueshi Castle Site 羽衣石城 跡 Ueshi-jō ato,Yurihama,[ 52 ]
Nii Mishima Valley Tumulus 新井三嶋谷墳丘墓 Nii Mishima-tani funkyū haka,Iwami,[ 53 ]
