Title,Publisher ( s ),Platform ( s ),Release date
The Suit,SoftKey Multimedia,"Microsoft Windows , MS-DOS",1996
They Call Me ... The Skul,"SoftKey Multimedia , The Learning Company","Microsoft Windows , MS-DOS",1996
NFL Legends Football '98,Accolade,Microsoft Windows,"August 31 , 1997"
James Bond 007,Nintendo,Game Boy,"January 29 , 1998"
Rampage World Tour,Midway Games,Nintendo 64,"March 30 , 1998"
Bio F.R.E.A.K.S,Midway Games,"Nintendo 64 , PlayStation","May 31 , 1998"
Oddworld Adventures,GT Interactive Software,Game Boy,December 1998
Animaniacs : Ten Pin Alley,ASC Games,PlayStation,"December 1 , 1998"
StarCraft : Brood War,Blizzard Entertainment,"Microsoft Windows , Mac OS","December 18 , 1998"
Top Gear Rally 2,Kemco,Nintendo 64,"October 31 , 1999"
Tom Clancy 's Rainbow Six,Red Storm Entertainment,Nintendo 64,"November 17 , 1999"
Billy Bob 's Huntin'-n-Fishin ',Midway Games,Game Boy Color,"November 17 , 1999"
Xena : Warrior Princess : The Talisman of Fate,Titus Software,Nintendo 64,"December 14 , 1999"
Oddworld Adventures 2,GT Interactive Software,Game Boy Color,January 2000
The Mask of Zorro,Sunsoft,Game Boy Color,February 2000
CyberTiger,Electronic Arts,Nintendo 64,"February 29 , 2000"
ESPN MLS GameNight,Konami,PlayStation,"September 19 , 2000"
Army Men : Sarge 's Heroes,Midway Games,Dreamcast,"October 30 , 2000"
Microsoft Pinball Arcade,"Classified Games ( U.S. ) , Cryo Interactive ( PAL )",Game Boy Color,2001
Tom Clancy 's Rainbow Six : Rogue Spear,Red Storm Entertainment,PlayStation,"March 27 , 2001"
