Date,Tournament,Location,Winner,Score,1st prize ( $ )
Jan 9,Los Angeles Open,California,Arnold Palmer ( 46 ),273 ( −11 ),"11,000"
Jan 16,San Diego Open Invitational,California,Billy Casper ( 29 ),268 ( −16 ),"5,800"
Jan 23,Bing Crosby National Pro-Am,California,Don Massengale ( 1 ),283 ( −4 ),"11,000"
Jan 31,Lucky International Open,California,Ken Venturi ( 14 ),273 ( −11 ),"8,500"
Feb 6,Bob Hope Desert Classic,California,Doug Sanders ( 15 ),349 ( −11 ),"15,000"
Feb 14,Phoenix Open Invitational,Arizona,Dudley Wysong ( 1 ),278 ( −6 ),"9,000"
Feb 20,Tucson Open Invitational,Arizona,Joe Campbell ( 3 ),278 ( −10 ),"9,000"
Mar 7,Pensacola Open Invitational,Florida,Gay Brewer ( 7 ),272 ( −16 ),"10,000"
Mar 13,Doral Open Invitational,Florida,Phil Rodgers ( 4 ),278 ( −10 ),"20,000"
Mar 20,Florida Citrus Open Invitational,Florida,Lionel Hebert ( 5 ),279 ( −5 ),"21,000"
Mar 27,Jacksonville Open,Florida,Doug Sanders ( 16 ),273 ( −15 ),"13,500"
Apr 3,Greater Greensboro Open,North Carolina,Doug Sanders ( 17 ),276 ( −8 ),"20,000"
Apr 11,Masters Tournament,Georgia,Jack Nicklaus ( 18 ),288 ( E ),"20,000"
Apr 17,Azalea Open Invitational,North Carolina,Bert Yancey ( 1 ),278 ( −10 ),"3,200"
Apr 18,Tournament of Champions,Nevada,Arnold Palmer ( 47 ),283 ( −5 ),"20,000"
Apr 26,Dallas Open Invitational,Texas,Roberto De Vicenzo ( 5 ),276 ( −8 ),"15,000"
May 1,Texas Open Invitational,Texas,Harold Henning ( 1 ),272 ( −8 ),"13,000"
May 16,Greater New Orleans Open Invitational,Louisiana,Frank Beard ( 3 ),276 ( −12 ),"20,000"
May 22,Colonial National Invitation,Texas,Bruce Devlin ( 2 ),280 ( E ),"22,000"
May 29,Oklahoma City Open Invitational,Oklahoma,Tony Lema ( 12 ),271 ( −17 ),"8,500"
