City,Municipality,County,Town status,Population
Alta,Alta,Troms og Finnmark,1999,"15,094"
Askim,Askim,Viken,1996,"14,703"
Brekstad,Ørland,Trøndelag,2005,"1,865"
Brevik,Porsgrunn,Vestfold og Telemark,1845-1963 later regained,"2,700"
Brumunddal,Ringsaker,Innlandet,2010,"8,890"
Bryne,Time,Rogaland,2001,"9,627"
Brønnøysund,Brønnøy,Nordland,1923-1963 regained 2000,"5,045"
Drøbak,Frogn,Viken,1842-1961 regained 2006,"13,358"
Elverum,Elverum,Innlandet,1996,"18,992"
Fauske,Fauske,Nordland,1998,"6,304"
Fagernes,Nord-Aurdal,Innlandet,2007,"1,762"
Finnsnes,Lenvik,Troms og Finnmark,2000,"4,658"
Fosnavåg,Herøy,Møre og Romsdal,2000,"3,598"
Førde,Førde,Vestland,1997,"9,248"
Hokksund,Øvre Eiker,Viken,2002,"9,207"
Honningsvåg,Nordkapp,Troms og Finnmark,1996,"2,575"
Jessheim,Ullensaker,Viken,2012,"17,319"
Jørpeland,Strand,Rogaland,1998,"6,168"
Kirkenes,Sør-Varanger,Troms og Finnmark,1998,"3,529"
Kolvereid,Nærøy,Trøndelag,2002,"1,448"
