Site,Date ( s ),Designated,Location,Description
57-63 St. Louis Street,1705-1811 ( period of construction ),1969,Quebec City 46°48′39.35″N 71°12′30.53″W / 46.8109306°N 71.2084806°W / 46.8109306 ; -71.2084806 ( 57-63 St. Louis Street ),Three early eighteenth and nineteenth century stone houses within the walls of Quebec Citys Upper Town at the foot of Cavelier du Moulin Park ; a notable grouping of buildings from the French Regime
Bélanger-Girardin House,1735 ( completed ),1982,Beauport 46°51′33.32″N 71°11′31.09″W / 46.8592556°N 71.1919694°W / 46.8592556 ; -71.1919694 ( Bélanger-Girardin House ),"A one-and-a-half-storey stone house with a steep roof located in Beauport , one of the first seigneuries of New France ; one of the few remaining early French Regime houses erected in the ( then ) countryside near Quebec City"
Beth Israël Cemetery,1840-58 ( acquisition of land ),1992,Quebec City 46°47′4.15″N 71°15′34.79″W / 46.7844861°N 71.2596639°W / 46.7844861 ; -71.2596639 ( Beth Israël Cemetery ),"Since the 19th century , most members of Quebec City 's Jewish community have been interred in this cemetery ; its age , burial house , linear spatial arrangement , grave marker designs and symbols make it an excellent representative example of a burial ground in the Jewish cultural tradition"
Bon-Pasteur Chapel,1868 ( completed ),1975,Quebec City 46°48′26.49″N 71°13′4.48″W / 46.8073583°N 71.2179111°W / 46.8073583 ; -71.2179111 ( Bon-Pasteur Chapel ),A rectangular five-storey stone-faced chapel with a gable roof that is part of the motherhouse of the Sisters of the Good Shepherd ; it is prized for its interior designed by Charles Baillargé and is recognized as an outstanding example of religious architecture in Quebec
Capitol Theatre / Quebec Auditorium,1903 ( completed ),1986,Quebec City 46°48′46.24″N 71°12′50.06″W / 46.8128444°N 71.2139056°W / 46.8128444 ; -71.2139056 ( Capitol Theatre / Quebec Auditorium ),Remarkable Beaux Arts -style theatre with a bombé ( rounded ) facade ; evocative of the exuberance of Belle Époque theatres
Cartier-Brébeuf,1535-6 ( Cartier 's wintering site ),1958,Quebec City 46°49′31.01″N 71°14′22.7″W / 46.8252806°N 71.239639°W / 46.8252806 ; -71.239639 ( Cartier-Brébeuf ),"A 6.8-hectare ( 17-acre ) park located on the Saint-Charles River , near the former site of the Iroquoian village of Stadacona ; commemorates the winter quarters of Jacques Cartier in 1535-1536 , and the first residence of Jesuit missionaries in Quebec constructed in 1625-1626"
Château Frontenac,1893 ( first phase completed ),1981,Quebec City 46°48′42.99″N 71°12′17.76″W / 46.8119417°N 71.2049333°W / 46.8119417 ; -71.2049333 ( Château Frontenac ),"An imposing hotel located prominently on a cliff overlooking the Saint Lawrence River ; the first of a series of Chateau-style hotels constructed by railway companies in Canada in the late 19th and early 20th centuries to encourage railway travel , and the prototype for the railway hotels that followed"
Charlesbourg-Royal,1541 ( established ),1923,Cap-Rouge 46°44′53.35″N 71°20′29.72″W / 46.7481528°N 71.3415889°W / 46.7481528 ; -71.3415889 ( Fort Charlesbourg Royal ),The former site of two sixteenth-century forts established in 1541 by Jacques Cartier and abandoned in 1543 ; the first French colony in North America
Fortifications of Quebec,1608-1871 ( period of construction ),1948,Quebec City 46°48′35.9″N 71°12′41.79″W / 46.809972°N 71.2116083°W / 46.809972 ; -71.2116083 ( Fortifications of Quebec ),Quebec City 's historic fortifications began with the city 's founding by Samuel de Champlain and are located on a plateau overlooking the convergence of the Saint Lawrence and the Saint Charles Rivers ; the city is the sole surviving example of a fortified city in North America
Henry-Stuart House,1849 ( completed ),1999,Quebec City 46°48′8.99″N 71°13′26.09″W / 46.8024972°N 71.2239139°W / 46.8024972 ; -71.2239139 ( Henry-Stuart House ),"A brick cottage set in a garden ; a noted example of the cottage orné style in Quebec , evocative of the picturesque aesthetics favoured by British settlers"
