Ride,Opened,Manufacturer,Description
Breakdance,1990,HUSS,A Breakdance . Ride spins on a platform with a group of pods that spin in addition to the platform
Bluebeard 's Bounty,1990,HUSS,Swinging pirate ship
Tin Lizzies,1990,Arrow Dynamics,Antique cars that run along a track . The ride was remodeled due to the construction of the rollercoaster Greezed Lightning
Himalaya,1990,Reverchon Industries,Spinning ride that goes over slopes and flat area in a circular direction
Flying Dutchman,1991,Intamin,Ride was previously located at Kings Island from 1973 to 1990
The Giant Wheel,1992,Vekoma,150 ft ( 46 m ) tall Ferris wheel
Mile High Falls,1994,Hopkins Rides,
Bella Musica,1996,Wooddesign Amusement-Rides,The park 's main Carousel . Formerly International Carousel
Raging Rapids River Ride,1999,Intamin,A white water raft ride . Parts of the ride were moved from the closed Opryland theme park . First ride added by Six Flags . Formerly The Penguin 's Blizzard River
FearFall,2014,Larson International,A 129 foot tall drop tower ride
Professor John 's Flying Machines,2014,Larson International,A Flying Scooters ride
5D Cinema - Movies You Ride,2014,SimEx-Iwerks,Plays Happy Family & Journey 2
Bumper Cars,2014,Soli of Italy,Classic Bumper Cars ride
Cyclos,2015,Zamperla,Zamperla Discovery Revolution ride . A circle of 16 passenger seats spins in a circle while swinging in the air doing 360 degrees loop
Skycatcher,2015,ARM Rides,130-foot swing ride . Starts on the ground and lifts into the air where it swings riders
Eye Of The Storm,2017,Larson International,"A high-speed thrill ride with a seven-story loop , continuous rotations and inversions , and forward and backward motions"
Scream Xtreme,2018,Zamperla,"Zamperla Endeavour ride . Open air , suspended passenger vehicles give riders the sensation of flying sixty feet through the air at 25 miles per hour Replaced Enterprise"
