Name,Country,Sport,Banned substance
Serafim Grammatikopoulos,Greece,Weightlifting,Nandrolone
Vésteinn Hafsteinsson,Iceland,Athletics,Nandrolone
Tomas Johansson,Sweden,Wrestling,Methenolone
Stefan Laggner,Austria,Weightlifting,Nandrolone
Göran Pettersson,Sweden,Weightlifting,Nandrolone
Eiji Shimomura,Japan,Volleyball,Testosterone
Mikiyasu Tanaka,Japan,Volleyball,Ephedrine
Ahmed Tarbi,Algeria,Weightlifting,Nandrolone
Mahmud Tarha,Lebanon,Weightlifting,Nandrolone
Giampaolo Urlando,Italy,Athletics,Testosterone
Martti Vainio,Finland,Athletics,Methenolone
Anna Verouli,Greece,Athletics,Nandrolone
