School,Sport ( s ),Former Conference,New Conference
Abilene Christian Wildcats,Beach volleyball,Independent,Southland
Akron Zips,Baseball,No team,MAC
Akron Zips,Women 's lacrosse,No team,ASUN
Austin Peay Governors,Beach volleyball,Independent,OVC
Bloomsburg Huskies,Wrestling,EWL,MAC
Boise State Broncos,Baseball,No team,Mountain West
Bryant Bulldogs,Field hockey,MAAC,NEC
Central Arkansas Bears,Men 's soccer,MVC,Sun Belt
Central Arkansas Sugar Bears,Beach volleyball,Independent,Southland
Chattanooga Mocs,Beach volleyball,No team,OVC
Clarion Golden Eagles,Wrestling,EWL,MAC
Clemson Tigers,Softball,No team,ACC
Cleveland State Vikings,Wrestling,EWL,MAC
Delaware Valley Aggies,Fencing,No team,Independent
Eastern Kentucky Colonels,Beach volleyball,Independent,OVC
Edinboro Fighting Scots,Wrestling,EWL,MAC
Fairfield Stags,Field hockey,MAAC,NEC
Franklin Pierce Ravens,Women 's ice hockey,Independent,NEWHA
George Mason Patriots,Wrestling,EWL,MAC
Hampton Pirates,Football,Division I FCS independent,Big South
