Band,Years active,Origin,Studio albums
Ben Moody,1995-present,"Little Rock , Arkansas",All for This ( 2009 ) You Ca n't Regret What You Do n't Remember ( 2011 )
Better Than Ezra,1988-present,"Baton Rouge , Louisiana","Surprise ( 1989 ) Deluxe ( 1995 ) Friction , Baby ( 1996 ) How Does Your Garden Grow ? ( 1998 ) Closer ( 2001 ) Before the Robots ( 2005 ) Paper Empire ( 2009 ) All Together Now ( 2016 )"
Birdbrain,1992-1997,"Boston , Massachusetts",Bliss ( 1995 ) Let 's Be Nice ( 1997 )
Black Stone Cherry,2001-present,"Edmonton , Kentucky",Black Stone Cherry ( 2006 ) Folklore and Superstition ( 2008 ) Between the Devil and the Deep Blue Sea ( 2011 ) Magic Mountain ( 2014 ) Kentucky ( 2016 )
Bleeker,2016-present,"Orillia , Ontario",Erase You ( 2016 )
Bleeker Ridge pre- Bleeker,2003-2016,"Orillia , Ontario",Small Town Dead ( 2010 ) Four ( 2013 )
Bonehead,"1994-2003 , 2005-present","Philadelphia , Pennsylvania",Fade ( 1999 ) Broken and Glued ( 2007 )
Breaking Benjamin,"1998-2010 , 2014-present","Wilkes-Barre , Pennsylvania",Saturate ( 2002 ) We Are Not Alone ( 2004 ) Phobia ( 2006 ) Dear Agony ( 2009 ) Dark Before Dawn ( 2015 ) Ember ( 2018 ) Aurora ( 2020 )
Breaking Point,"1999-2007 , 2009 , 2011","Memphis , Tennessee",Coming of Age ( 2001 ) Beautiful Disorder ( 2005 )
Brides of Destruction,2002-2006,"Los Angeles , California",Here Come the Brides ( 2004 ) Runaway Brides ( 2005 )
Burn Halo,2007-present,"Orange County , California ; Tulsa , Oklahoma",Burn Halo ( 2009 ) Up from the Ashes ( 2011 )
Burn Season,"2001-2007 , 2009 , 2010-present","Jacksonville , Florida",Burn Season ( 2005 ) This Long Time Coming ( 2011 )
Bush,"1992-2002 , 2010-present","London , England",Sixteen Stone ( 1994 ) Razorblade Suitcase ( 1996 ) The Science of Things ( 1999 ) Golden State ( 2001 ) The Sea of Memories ( 2011 ) Man on the Run ( 2014 ) Black and White Rainbows ( 2016 )
