Name,M,G,Degree,Notes
Elwyn Brook-Jones,1930 ?,1933 ?,?,"West End , film and TV actor , whose roles included The Voice ( the hero 's opponent ) in the children 's TV series Garry Halliday"
Greg Childs,1973,1976,MA English,Children 's television producer and advocate
Douglas Cleverdon,1922,1926,BA Literae Humaniores ( 3rd ),Radio producer and bookseller
Ronald Frame,1975,1979,B Litt,Scottish author
Ian Gillies,1946,1949,BA Modern History ( 2nd ),"Quiz question-setter , who was Mycroft on BBC Radio 4 's Brain of Britain"
Arturo Goetz,1971,DNG,-,"Argentinian actor who studied for a DPhil in Economics , but his scholarship finished before his thesis was complete"
Siân Lloyd,1979 ?,DNG,-,ITV national weather forecaster who left after 1 year of a BLitt in Celtic Studies
Magnus Magnusson ( HF ),1948,1951,BA English ( 2nd ),Television presenter ( including Mastermind ) and writer
Inder Manocha,1985 ?,1980s ( late ),BA Modern History,Comedian and actor
Glyn Mathias,1963 ?,1966 ?,BA,Political Editor of Independent Television News ( 1981-1986 ) and BBC Wales ( 1994-1999 ) ; the Electoral Commission 's Commissioner for Wales ( 2001-2008 )
Norman Matthews,1922,1926,BA Theology ( 2nd ),Chancellor of Llandaff Cathedral ( 1952-1964 ) and one of the panellists on the BBC show The Brains Trust
Kirsty McCabe,1996 ?,1999 ?,postgraduate work on climate change,BBC national weather forecaster on radio and television
Andre Ptaszynski,1972,1975,BA English,"Television and theatre producer , and Chief Executive of the Really Useful Group"
Francine Stock ( HF ),1976,1980,BA Modern Languages,Journalist and broadcaster ; the college 's first female honorary fellow
William Terriss,1865 ?,DNG,-,"Actor , known for his swashbuckling roles , who was murdered outside the Adelphi Theatre in 1897 by an unstable and struggling actor"
Jim Waterson,2008,2011,BA History,Journalist ; Deputy Editor of Buzzfeed
John Wood,1950,1953,BA Jurisprudence ( 3rd ),"Actor , member of the Royal Shakespeare Company and Tony Award winner in 1976"
