Promoted,Name,Born,Died,Notes
20 Apr 1936,Werner von Fritsch,1880,1939,Commander-in-Chief of the Oberkommando des Heeres
1 Nov 1938,Ludwig Beck,1880,1944,Chief of the German General Staff
1 Jan 1939,Wilhelm Adam,1877,1949,Commander-in-Chief of the Heeresgruppe 2 in Kassel ( 1938 )
1 Oct 1939,Johannes Blaskowitz,1883,1948,8th Army ( Wehrmacht ) - 9th Army ( Wehrmacht ) - 1st Army ( Wehrmacht ) - Army Group G - Army Group H - 25th Army ( Wehrmacht )
19 July 1940,Friedrich Dollmann,1882,1944,7th Army ( Wehrmacht )
19 July 1940,Nikolaus von Falkenhorst,1885,1968,Army HC Norwegen
19 July 1940,Friedrich Fromm,1888,1945,Replacement Army
19 July 1940,Heinz Guderian,1884,1954,Panzer Group Guderian - 2nd Panzer Army -Chief of the German General Staff
19 July 1940,Curt Haase,1881,1943,15th Army ( Wehrmacht )
19 July 1940,Franz Halder,1884,1972,Chief of the German General Staff
19 July 1940,Hermann Hoth,1885,1971,17th Army ( Wehrmacht ) - 4th Panzer Army - Panzer Group Hoth
19 July 1940,Erich Hoepner,1886,1944,4th Panzer Army
19 July 1940,Eugen von Schobert,1883,1941,11th Army ( Wehrmacht )
19 July 1940,Adolf Strauß,1879,1973,9th Army ( Wehrmacht )
1 Jan 1942,Georg-Hans Reinhardt,1887,1963,3rd Panzer Army - Army Group Center
1 Jan 1942,Rudolf Schmidt,1886,1957,2nd Panzer Army
1 Apr 1942,Richard Ruoff,1883,1967,4th Panzer Army - 17th Army ( Wehrmacht ) - Panzer Group Ruoff - 17th Army ( Wehrmacht )
1 June 1942,Eduard Dietl,1890,1944,Army Lapland - 20th Mountain Army
5 July 1942,Georg Lindemann,1884,1963,18th Army ( Wehrmacht ) - Army Group North
4 Dec 1942,Hans-Jürgen von Arnim,1889,1962,5th Panzer Army - Army Group Africa
