2010,University,Country
01,University of California- Berkeley,US
02,Swiss Federal Institute of Technology- Zurich,Switzerland
03,Hong Kong Polytechnic University,Hong Kong
04,Technical University of Denmark,Denmark
05,Delft University of Technology,Netherlands
06,University of California- Davis,US
07,Imperial College London,United Kingdom
08,University of Queensland,Australia
09,University of Toronto,Canada
10,National Taiwan University,ROC ( Taiwan )
11,Tsinghua University,China
12,Georgia Institute of Technology,US
13,Zhejiang University,China
14,Stanford University,US
15,National Cheng Kung University,ROC ( Taiwan )
16,Texas A & M University- College Station,US
17,Pennsylvania State University- University Park,US
18,University of Waterloo,Canada
19,Arizona State University,US
20,The University of Texas- Austin,US
