City,Airport,Weekly Departures ( Winter 2019/2020 ),Airlines
Podgorica,Podgorica Airport,40,"Air Serbia , Montenegro Airlines ,"
Vienna,Vienna International Airport,34,"Air Serbia , Austrian Airlines"
Zürich,Zürich Airport,34,"Air Serbia , Swiss International Air Lines"
Moscow,"Moscow-Sheremetyevo , Moscow-Domodedovo",32,"Air Serbia , Aeroflot , Red Wings Airlines"
Istanbul,"Istanbul Airport , Istanbul Sabiha Gökçen International Airport",22,"Air Serbia , Turkish Airlines , Pegasus Airlines"
Paris,"Paris Charles de Gaulle Airport , Beauvais-Tillé Airport",22,"Air Serbia , Air France , Wizz Air"
Tivat,Tivat Airport,19,"Air Serbia , Montenegro Airlines ,"
Ljubljana,Ljubljana Jože Pučnik Airport,19,Air Serbia
Frankfurt,Frankfurt Airport,18,"Air Serbia , Lufthansa"
Rome,Leonardo da Vinci-Fiumicino Airport,16,"Air Serbia , Alitalia"
