Station,Capacity ( MW ),Country,Location
Garorim Bay Tidal Power Station,520,South Korea,Garorim Bay
Incheon Tidal Power Station,"818 or 1,320",South Korea,37°29′48″N 126°20′32″E / 37.49667°N 126.34222°E / 37.49667 ; 126.34222 ( Incheon Tidal Power Station )
Severn Barrage,"8,640",United Kingdom,51°21′30″N 03°06′00″W / 51.35833°N 3.10000°W / 51.35833 ; -3.10000 ( Severn Barrage_dim:8000 )
Tugurskaya Tidal Power Plant,"3,640",Russia,Okhotsk Sea
Mezenskaya Tidal Power Plant,"24,000",Russia,Mezen Bay
Penzhinskaya Tidal Power Plant,"87,100",Russia,Penzhin Bay
Skerries Tidal Stream Array,10.5,United Kingdom,53°26′N 04°36′W / 53.433°N 4.600°W / 53.433 ; -4.600 ( Skerries Tidal Farm ) approx
Tidal Lagoon Swansea Bay,320,United Kingdom,Swansea Bay
Gulf of Kutch Project,50,India,Gulf of Kutch
Alderney tidal plant,300,Alderney,49°42′52″N 2°12′19″W / 49.71444°N 2.20528°W / 49.71444 ; -2.20528 ( Alderney )
