State ( class ),Vacator,Reason for change,Successor,Date of successor 's formal installation
Rhode Island ( 2 ),Vacant,"Failure to elect . Successor was elected July 20 , 1853",Philip Allen ( D ),"July 20 , 1853"
Alabama ( 2 ),Vacant,"Failure to elect . Successor elected November 29 , 1853",Clement C. Clay ( D ),"November 29 , 1853"
Mississippi ( 2 ),Vacant,"Failure to elect . Successor elected January 7 , 1854",Albert G. Brown ( D ),"January 7 , 1854"
Maine ( 2 ),Vacant,"Failure to elect . Successor was elected February 10 , 1854",William P. Fessenden ( W ),"February 10 , 1854"
North Carolina ( 2 ),Vacant,"Failure to elect . Successor was elected December 6 , 1854",David Reid ( D ),"December 6 , 1854"
Arkansas ( 3 ),Solon Borland ( D ),"Resigned April 11 , 1853 , after being appointed U.S. Minister to Nicaragua and other Central American Republics . Successor appointed July 6 , 1853",Robert W. Johnson ( D ),"July 6 , 1853"
Louisiana ( 3 ),Pierre Soulé ( D ),"Resigned April 11 , 1853 , after being appointed U.S. Minister to Spain . Successor elected December 5 , 1853",John Slidell ( D ),"December 5 , 1853"
New Hampshire ( 2 ),Charles G. Atherton ( D ),"Died November 15 , 1853",Jared W. Williams ( D ),"November 29 , 1853"
Vermont ( 3 ),Samuel S. Phelps ( W ),"Senate declared not entitled to seat March 16 , 1854 . Successor elected October 14 , 1854",Lawrence Brainerd ( FS ),"October 14 , 1854"
Connecticut ( 3 ),Truman Smith ( W ),"Resigned May 24 , 1854 . Successor was elected May 24 , 1854",Francis Gillette ( FS ),"May 24 , 1854"
Massachusetts ( 2 ),Edward Everett ( W ),"Resigned June 1 , 1854 Successor was appointed to serve until a new successor was elected",Julius Rockwell ( W ),"June 3 , 1854"
New Hampshire ( 2 ),Jared W. Williams ( D ),"Resigned August 4 , 1854",Vacant,Not filled this term
New Hampshire ( 3 ),"Moses Norris , Jr. ( D )","Died January 11 , 1855 . Successor appointed January 16 , 1855 , to finish the term",John S. Wells ( D ),"January 16 , 1855"
Massachusetts ( 2 ),Julius Rockwell ( W ),"Successor elected January 31 , 1855",Henry Wilson ( FS ),"January 31 , 1855"
Iowa ( 3 ),Augustus C. Dodge ( D ),"Resigned February 22 , 1855 , after being appointed U.S. Minister to Spain",Vacant,Not filled this term
