Name,University,Established,Comments,Degree awarded
Aston Medical School,Aston,2015,,MBChB
Anglia Ruskin School of Medicine,Anglia Ruskin University,2018,"First intake of students took place in the academic year of 2018/9 , with a cohort of 100 students per annum",MBChB
Barts and The London School of Medicine and Dentistry,"Queen Mary , ( University of London )",1785,Current school formed by the merger of the Medical College of St Bartholomew 's Hospital and the London Hospital Medical College which was founded in 1785 . Teaching at St Barts dates from 1123,MBBS
University of Birmingham Medical School,Birmingham,1825,Formal medical education began at Birmingham in 1825 Merged with Mason Science College in 1900,MBChB
Bristol Medical School,Bristol,1833,"Merged with the University College , Bristol ( now University of Bristol ) in 1893",MBChB
Brighton and Sussex Medical School,Brighton Sussex,2002,Affiliated with both the University of Brighton and the University of Sussex,BMBS
"School of Clinical Medicine , University of Cambridge",Cambridge,1976,"Teaching of medicine began in 1540 , but lay dormant for many years . An abortive attempt to put medicine on a proper footing was undertaken in the 1840s , but eventually petered out by the 1860s . It was not until 1976 in response to the recommendation of the Royal Commission on Medical Education that a complete medical course was re-established at Cambridge through partnership with Addenbrooke 's Hospital in Cambridge",MB BChir
UCLan School of Medicine,Preston,2015,"The school works in very close partnership with NHS Trusts and CCGs in both Lancashire and Cumbria.Recruiting international students from 2015 , sponsored UK students from 2017 and UK government funded students from 2018 onwards",MBBS
University of Exeter Medical School,Exeter,2013 ( Peninsula College : 2000 ),Established after the split of the Peninsula College of Medicine and Dentistry,BMBS
Hull York Medical School,Hull York,2003,Affiliated with both the University of Hull and the University of York,MBBS
Imperial College School of Medicine,Imperial College London,1997 ( Charing Cross Hospital : 1818 ),"Formed by the merger of St Mary 's Hospital Medical School , the National Heart and Lung Institute , the Royal Postgraduate Medical School and the Charing Cross and Westminster Medical School",MBBS
Keele University School of Medicine,Keele,2003,"Founded as the Department of Postgraduate Medicine in 1978 ; began teaching undergraduate clinical medicine in 2003 using the Manchester curriculum . As such , the MBChB degree was awarded by the University of Manchester until 2011 . From 2012 ( 2007 intake ) the MBChB degree was awarded by Keele University itself",MBChB ( see comments )
Kent and Medway Medical School,University of Kent & Canterbury Christchurch,2020,The medical school has been formed as a collaboration between the University of Kent and Canterbury Christchurch University . The first cohort will consist of 150 students and is being supervised by Brighton and Sussex Medical School,BMBS
King 's College London School of Medicine and Dentistry,King 's College London ( University of London ),1988 ( St Thomas 's Hospital : 1550 ),Result of a merger between King 's College London and United Medical and Dental Schools of Guy 's and St Thomas ' Hospitals in 1998 . Known as GKT School of Medicine until 2005 . Teaching began in 1550 at St Thomas 's Hospital Medical School,MBBS
Lancaster Medical School,Lancaster,2004,"Education undertaken by the Cumbria and Lancashire Medical and Dental Consortium . The MBChB degree was awarded by the University of Liverpool . The General Medical Council approved Lancaster in 2012 to deliver their own medical degree independently . Students starting after September 2013 , will graduate with a Lancaster degree",MBChB
Leeds School of Medicine,Leeds,1831,,MBChB
Leicester Medical School,Leicester,1975,,MBChB
University of Lincoln Medical School,Lincoln,2019 ( anticipated ),A new medical school that is planned to take its first students in 2019,MBBS
Liverpool Medical School,Liverpool,1834,,MBChB
Manchester Medical School,Manchester,1824,"Medical teaching began in 1752 when Charles White founded the first modern hospital in the Manchester area , the Manchester Royal Infirmary . The medical school was first constituted in 1824",MBChB
