Rank,Athlete,Nationality,Time
1,Constantina Diţă-Tomescu,Romania,1:09:17
2,Lornah Kiplagat,Netherlands,1:10:19
3,Susan Chepkemei,Kenya,1:10:20
4,Galina Bogomolova,Russia,1:10:34
5,Mihaela Botezan,Romania,1:10:36
6,Madaí Pérez,Mexico,1:10:37
7,Lidiya Grigoryeva,Russia,1:11:01
8,Nuța Olaru,Romania,1:11:07
9,Merima Hashim,Ethiopia,1:11:09
10,Adriana Pirtea,Romania,1:11:10
11,Irina Timofeyeva,Russia,1:11:30
12,Terumi Asoshina,Japan,1:11:45
13,Hiromi Ominami,Japan,1:11:57
14,Yoko Yagi,Japan,1:12:00
15,Derartu Tulu,Ethiopia,1:12:12
16,Caroline Kilel,Kenya,1:12:13
17,Akane Taira,Japan,1:12:23
18,Mara Yamauchi,Great Britain,1:12:40
19,Letay Nagash,Ethiopia,1:12:43
20,Nina Rillstone,New Zealand,1:13:03
