Pick,Player,Position,Nationality,Team,College/From
49,Carl Edwards,SG-SF,United States,Anaheim Arsenal,Charleston
50,Mahmoud Abdul-Awwel,PG/SG,United States Cambodia,Sioux Falls Skyforce,Arizona
51,Bakari Hendrix,PF,United States,Colorado 14ers,Benfica ( Portugal )
52,Anderson Ferreira,F,Brazil,Fort Worth Flyers,Brazil
53,Dontell Jefferson,SG,United States,Dakota Wizards,Arkansas
54,G.J . Macon,PF,United States,Arkansas RimRockers,Alaska
55,Nate Johnson,PG,United States,Los Angeles D-Fenders,Los Angeles Lakers
56,Denham Brown,SG-SF,Canada,Tulsa 66ers,Connecticut
57,PJ Ramos,C,Puerto Rico,Idaho Stampede,Roanoke Dazzle ( NBA D-League )
58,"Darius Washington , Jr",PG/SG,United States,Austin Toros,ČEZ Nymburk
59,Brandon Bowman,SF,United States,Bakersfield Jam,Georgetown
60,Troy Bell,PG,United States,New Mexico Thunderbirds,Skyliners Frankfurt ( Germany )
