Round,Pick,Player,AFL club,Original club,League
1,1,Sam Schulz,Greater Western Sydney,Greater Western Sydney,AFL
1,2,James Harmes,Melbourne,Dandenong Stingrays,TAC Cup
1,3,Eli Templeton,St Kilda,Burnie,TSL
1,4,Louis Herbert,Gold Coast,North Ballarat Rebels,TAC Cup
1,5,Will Maginness,West Coast,Oakleigh Chargers,TAC Cup
1,6,Isaac Conway,Brisbane Lions,Aspley,QAFL
1,7,Charlie Cameron,Adelaide,Swan Districts,WAFL
1,8,Joel Tippett,North Melbourne,West Adelaide,SANFL
1,9,Fraser Thurlow,Essendon,Labrador,NEAFL
1,10,Corey Gault,Collingwood,Collingwood,AFL
1,11,Todd Banfield,Richmond,Brisbane Lions,AFL
1,12,Luke Reynolds,Carlton,Port Adelaide,SANFL
1,13,Samuel Russell,Port Adelaide,Geelong Falcons,TAC Cup
1,14,Passed,Sydney,-,-
1,15,James Toohey,Geelong,Oakleigh Chargers,TAC Cup
1,16,Michael Wood,Fremantle,Subiaco,WAFL
1,17,Dallas Willsmore,Hawthorn,North Ballarat Rebels,TAC Cup
2,18,Passed,Greater Western Sydney,-,-
2,19,Max King,Melbourne,Murray Bushrangers,TAC Cup
2,20,Maverick Weller,St Kilda,Gold Coast,AFL
