Name,Sport,Gold,Silver,Total
Choong Tan Fook,Badminton,2,,2
Kenny Ang,Ten-pin bowling,2,,2
Lee Wan Wah,Badminton,2,,2
Wong Choong Hann,Badminton,2,,2
Thye Chee Kiat,Gymnastics,1,1,3
Cheah Soon Kit,Badminton,1,1,2
Muhammad Hidayat Hamidon,Weightlifting,1,1,2
Yap Kim Hock,Badminton,1,1,2
Yong Hock Kin,Badminton,1,1,2
Carolyn Au Yong,Gymnastics,1,,2
Chor Hooi Yee,Badminton,,2,2
Lim Pek Siah,Badminton,,2,2
Mohammed Emran Zakaria,Shooting,,2,2
Bibiana Ng Pei Chin,Shooting,,1,2
Lai Kin Ngoh,Ten-pin bowling,,1,2
Matin Guntali,Weightlifting,,,3
