Date,Placing,Event,Competition,Location,Country
"September 30 , 1995",,Team pursuit,World Championships,Bogotá,Colombia
June 1997,3,Individual pursuit,World Cup,Quartu Sant'Elena,Italy
June 1997,1,Team pursuit,World Cup,Quartu Sant'Elena,Italy
"August 30 , 1997",,Team pursuit,World Championships,Perth,Australia
"June 12 , 1998",2,Team pursuit,World Cup,Berlin,Germany
"June 19 , 1998",2,Team pursuit,World Cup,Hyères,France
"August 26 , 1998",,Team pursuit,World Championships,Bordeaux,France
"June 19 , 1999",2,Team pursuit,World Cup,Valencia,Spain
"August 28 , 1999",1,Team pursuit,World Cup,Fiorenzuola d'Arda,Italy
"July 15 , 2000",2,Team pursuit,World Cup,Turin,Italy
"September 19 , 2000",,Team pursuit,Olympic Games,Sydney,Australia
"June 8 , 2001",2,Individual pursuit,World Cup,Szczecin,Poland
"June 9 , 2001",3,Team pursuit,World Cup,Szczecin,Poland
"September 27 , 2001",,Individual pursuit,World Championships,Antwerp,Belgium
"September 28 , 2001",,Team pursuit,World Championships,Antwerp,Belgium
"June 1 , 2002",2,Team pursuit,World Cup,Moscow,Russia
"April 12 , 2003",1,Team pursuit,World Cup,Cape Town,South Africa
