Year,Title,Role,Notes
2002-2006,Passions,Nicholas Foxworth Fox Crane,Series regular
2006-2011,Smallville,Green Arrow/Oliver Queen,Recurring role ( seasons 6-7 ) ; main role ( seasons 8-10 ) ; 72 episodes Also director ( Dominion ) ; writer ( Sacrifice )
2006,Aquaman,Arthur A.C. Curry,Unsold television pilot
2007,CSI : NY,Elliott Bevins,Episode : Heart of Glass
2007,Cold Case,Mike Delaney ( 1982 ),Episode : Justice
2009,MegaFault,Dan Lane,Television film
2011,Chuck,Wesley Sneijder,Episode : Chuck Versus the Bearded Bandit
2012,Castle,Reggie Starr,Episode : An Embarrassment of Bitches
2012,Hart of Dixie,Jesse Kinsella,Episode : Bachelorettes & Bullets
2012-2013,"Emily Owens , M.D",Will Collins,Main role
2013,Melissa & Joey,Noah Butler,Episode : Fast Times
2013-2014,Revenge,Patrick Osbourne,"Recurring role ( season 3 ) , 13 episodes"
2014-2016,Mistresses,Scott Trosman,Recurring role ( seasons 2-4 )
2014-2016,The Young and the Restless,Adam Newman,Series regular
2016-present,This Is Us,Kevin Pearson,Main role
2019,Jane the Virgin,Himself,Episode : Chapter Eighty-Nine
