Year,Song title,Artist,Master recording ?,Tier
1964,All Day and All of the Night,The Kinks ( cover by WaveGroup ),,2 . First Taste of Success ( Maxs Kansas City )
1972,All the Young Dudes,Mott the Hoople ( cover by WaveGroup ),,1 . Getting the Band Together ( Nipmuc High School )
1976,Back in the Saddle,Aerosmith,Y,5 . The Great American Band ( Half Time Show )
1991,Always on the Run,Lenny Kravitz and Slash,Y,5 . The Great American Band ( Half Time Show )
2001,Beyond Beautiful,Aerosmith,Y,5 . The Great American Band ( Half Time Show )
1977,Bright Light Fright,Aerosmith,Y,4. International Superstars ( Moscow )
1977,Cat Scratch Fever,Ted Nugent,Y,6 . Rock N Roll Legends ( Rock & Roll Hall of Fame )
1977,Complete Control,The Clash,Y,3 . The Triumphant Return ( The Orpheum )
1977,Draw the Line,Aerosmith,Y,1 . Getting the Band Together ( Nipmuc High School ) ( encore )
2008,Dream On,Aerosmith,Y,5 . The Great American Band ( Half Time Show ) ( encore )
1979,Dream Police,Cheap Trick,Y,1 . Getting the Band Together ( Nipmuc High School )
2008,Guitar Battle vs Joe Perry,Joe Perry,Y,6 . Rock N Roll Legends ( Rock & Roll Hall of Fame )
1990,Hard to Handle,The Black Crowes ( cover by Steve Ouimette ),,5 . The Great American Band ( Half Time Show )
1988,I Hate Myself for Loving You,Joan Jett,Y,2 . First Taste of Success ( Maxs Kansas City )
1985,King of Rock,Run-D.M.C,Y,4. International Superstars ( Moscow )
1993,Livin ' on the Edge,Aerosmith,Y,3 . The Triumphant Return ( The Orpheum )
1989,Love in an Elevator,Aerosmith,Y,3 . The Triumphant Return ( The Orpheum ) ( encore )
2008,Make It,Aerosmith,Y,1 . Getting the Band Together ( Nipmuc High School )
2008,Mama Kin,Aerosmith,Y,6 . Rock N Roll Legends ( Rock & Roll Hall of Fame )
2008,Movin ' Out,Aerosmith,Y,2 . First Taste of Success ( Maxs Kansas City )
