Club,Sport,League,Venue,Championships ( Years )
Jacksonville Jumbo Shrimp,Baseball,"MiLB , Southern League ( AA )",Baseball Grounds of Jacksonville,"6 ( 1968 , 1996 , 2001 , 2005 , 2009 , 2010 )"
Pensacola Blue Wahoos,Baseball,"MiLB , Southern League ( AA )",Pensacola Bayfront Stadium,0
Bradenton Marauders,Baseball,"MiLB , Florida State League ( A )",McKechnie Field,1 ( 2016 )
Charlotte Stone Crabs,Baseball,"MiLB , Florida State League ( A )",Charlotte Sports Park,"2 ( 1983 , 1990 )"
Clearwater Threshers,Baseball,"MiLB , Florida State League ( A )",Spectrum Field,1 ( 2007 )
Daytona Tortugas,Baseball,"MiLB , Florida State League ( A )",Jackie Robinson Ballpark,"3 ( 1995 , 2004 , 2008 )"
Dunedin Blue Jays,Baseball,"MiLB , Florida State League ( A )",Knology Park,0
Florida Fire Frogs,Baseball,"MiLB , Florida State League ( A )",Osceola County Stadium,0
Fort Myers Mighty Mussels,Baseball,"MiLB , Florida State League ( A )",Hammond Stadium,"7 ( 1969 , 1970 , 1971 , 1972 , 1978 , 2018 , 2018 )"
Jupiter Hammerheads,Baseball,"MiLB , Florida State League ( A )",Roger Dean Stadium,0
Lakeland Flying Tigers,Baseball,"MiLB , Florida State League ( A )",Joker Marchant Stadium,"3 ( 1976 , 1977 , 1992 )"
Palm Beach Cardinals,Baseball,"MiLB , Florida State League ( A )",Roger Dean Stadium,1 ( 2005 )
St. Lucie Mets,Baseball,"MiLB , Florida State League ( A )",Tradition Field,"5 ( 1988 , 1996 , 1998 , 2003 , 2006 )"
Tampa Tarpons,Baseball,"MiLB , Florida State League ( A )",Legends Field,"5 ( 1994 , 2001 , 2004 , 2009 , 2010 )"
Lakeland Magic,Basketball,NBA G League,RP Funding Center,0
Daytona Beach Sharks,Basketball,American Basketball Association,,0
Jacksonville Giants,Basketball,American Basketball Association,VyStar Veterans Memorial Arena,"3 ( 2012 , 2013 , 2016 )"
Miami Midnites,Basketball,American Basketball Association Florida Basketball Association,David Posnack Jewish Community Center,"3 ( 2014 , 2015 , 2016 in the FBA )"
Native Pride,Basketball,American Basketball Association,Broward College,0
South Florida Gold,Basketball,American Basketball Association,Coral Springs Arena,0
