Rank,Name,Nation,SP,FS
1,Julia Obertas / Dmytro Palamarchuk,Ukraine,1,1
2,Laura Handy / Paul Binnebose,United States,2,2
3,Victoria Maxiuta / Vladislav Zhovnirski,Russia,5,3
4,Tiffany Stiegler / Johnnie Stiegler,United States,6,4
5,Meliza Brozovich / Anton Nimenko,Russia,4,5
6,Svetlana Nikolaeva / Alexei Sokolov,Russia,9,6
7,Jacinthe Larivière / Lenny Faustino,Canada,3,10
8,Pang Qing / Tong Jian,China,8,8
9,Evgenia Filonenko / Igor Marchenko,Ukraine,7,9
10,Viktoria Shklover / Valdis Mintals,Estonia,12,7
11,Stefanie Weiss / Matthias Bleyer,Germany,13,12
12,Aliona Savchenko / Stanislav Morozov,Ukraine,17,11
13,Diana Riskova / Vladimir Futas,Slovakia,14,13
14,Jaisa Macadam / Garrett Lucash,United States,11,15
15,Eve Butchart / Clinton Petersen,Canada,10,16
16,Marsha Poluliaschenko / Andrew Seabrook,United Kingdom,15,14
17,Aneta Kowalska / Łukasz Różycki,Poland,16,18
18,Bethany Mclean / Adam King,Australia,19,17
19,Veronika Ruzkova / Marek Sedelmajer,Czech Republic,18,19
WD,Irina Shabanov / Artem Knyazev,Uzbekistan,20,
