Date,Race,Location,Winner
2002-02-13,"Stage 5 , Volta ao Algarve",Portugal,Jan Hruška
2002-03-10,"Stage 5 , Vuelta a Murcia",Spain,René Andrle
2003-05-12,"Stage 2b , Clásica de Alcobendas",Spain,Isidro Nozal
2002-05-24,"Stage 3 , GP du Midi Libre",Spain,Igor González de Galdeano
2002-05-08,"Stage 4b , Euskal Bizikleta",Spain,Mikel Zarrabeitia
2002-06-09,"Stage 5 , Euskal Bizikleta",Spain,Joseba Beloki
2002-06-09,"Overall , Euskal Bizikleta",Spain,Mikel Zarrabeitia
2002-06-09,"Overall , Deutschland Tour",Germany,Igor González de Galdeano
2002-06-28,"Overall , Campeonato de España de Ciclismo Contrarreloj",Spain,Igor González de Galdeano
2002-07-10,"Stage 4 , Tour du France",France,ONCE-Eroski
2002-07-25,Prueba Villafranca de Ordizia,Spain,Mikel Zarrabeitia
2002-08-14,"Stage 3 , Vuelta a Burgos",Spain,ONCE-Eroski
2002-09-07,"Stage 1 , Vuelta a España",Spain,ONCE-Eroski
2002-09-13,"Stage 8 , Tour de l'Avenir",France,Xavier Florencio
