Judge,Court/Agency & Years of Service ( if known ),State/Territory,Status
Sheila Abdus-Salaam,"New York City Civil Court ( 1992-1993 ) ; New York Supreme Court ( 1993-2009 ) ; Appellate Division of the New York Supreme Court , First Judicial Department ( 2009-2013 ) ; New York Court of Appeals ( 2013-2017 )",New York,deceased
Henry Lee Adams Jr,Fourth Judicial Circuit of Florida ( 1979-1993 ) ; United States District Court for the Middle District of Florida ( 1993-2010 ),Florida,retired
Oscar Adams,Supreme Court of Alabama ( 1980-1993 ),Alabama,deceased
Pamela Alexander,Hennepin County Municipal Court ( 1983-1986 ) ; Minnesota Fourth Judicial District Court ( 1986-2018 ),Minnesota,retired
Raymond Pace Alexander,Pennsylvania Courts of Common Pleas ( 1959-1974 ),Pennsylvania,deceased
Elreta Melton Alexander-Ralston,North Carolina District Court ( appt . 1968 ),North Carolina,deceased
Haile Alford,Delaware Superior Court ( 1992-2003 ),Delaware,deceased
Macon Bolling Allen,Justice of the Peace for Middlesex County ( appt . 1848 ) ; Inferior Court of Charleston ( appt . 1873 ) ; Charleston County Probate Court ( appt . 1873 ),Massachusetts,deceased
Glenda Allen-Hill,Fresno County Superior Court ( 2008- ),California,active
Eldora Anderson,Perry County Probate Court ( 2006- ),Alabama,active
Isaac Anderson Jr,Lee County Court ( 1981-1990 ) ; Florida 20th Judicial Circuit Court ( appt . 1991 ),Florida,deceased
Joan Armstrong,Orleans Parish Juvenile Court ( 1974-1984 ) ; Louisiana Fourth Circuit Court ( 1984-2012 ),Louisiana,deceased
Dionne Phillips Bagsby,Tarrant County Commissioners Court ( 1978-2005 ),Texas,deceased
Nannette A. Baker,Missouri Court of Appeals ( 2004-2009 ) ; United States District Court for the Eastern District of Missouri ( 2010- ),Missouri,active
Cynthia Baldwin,Allegheny County Court of Common Pleas ( 1989-2005 ) ; Supreme Court of Pennsylvania ( 2006-2008 ),Pennsylvania,retired
Boce W. Barlow Jr,Connecticut Municipal Court ( appt . 1957 ),Connecticut,deceased
Deborah A. Batts,United States District Court for the Southern District of New York ( 1994- ),New York,active
Gordon S. Baranco,Oakland-Piedmont-Emeryville Municipal Court ( 1980-1984 ) ; Alameda County Superior Court ( 1984-2016 ),California,retired
Deborah Batts,United States District Court for the Southern District of New York ( 1994-2012 ),New York,retired
DeLawrence Beard,Sixth Judicial Circuit Court ( appt . 1996 ),Maryland,active
