Senator,Party,State,Endorsement,Date
Lamar Alexander,Republican,Tennessee,Mitt Romney,"February 24 , 2012"
Kelly Ayotte,Republican,New Hampshire,Mitt Romney,"November 20 , 2011"
John Barrasso,Republican,Wyoming,Mitt Romney,"April 13 , 2012"
Roy Blunt,Republican,Missouri,Mitt Romney,"September 20 , 2011"
Scott Brown,Republican,Massachusetts,Mitt Romney,
Richard Burr,Republican,North Carolina,Mitt Romney,11.29.11
Tom Coburn,Republican,Oklahoma,Mitt Romney,3.4.12
Thad Cochran,Republican,Mississippi,Mitt Romney,10.12.2011
Mike Enzi,Republican,Wyoming,Mitt Romney,"April 13 , 2012"
Lindsey Graham,Republican,South Carolina,Mitt Romney,4.10.2011
Orrin Hatch,Republican,Utah,Mitt Romney,7.6.2011
Dean Heller,Republican,Nevada,Mitt Romney,4.11.2012
John Hoeven,Republican,North Dakota,Mitt Romney,"November 18 , 2011"
Kay Bailey Hutchison,Republican,Texas,Mitt Romney,"May 15 , 2012"
Jim Inhofe,Republican,Oklahoma,Rick Perry ( withdrawn ),"August 28 , 2011"
Mike Johanns,Republican,Nebraska,Mitt Romney,"December 21 , 2011"
Ron Johnson,Republican,Wisconsin,Mitt Romney,4.1.2012
Mark Kirk,Republican,Illinois,Mitt Romney,"December 19 , 2011"
Jon Kyl,Republican,Arizona,Mitt Romney,"April 20 , 2012"
Mike Lee,Republican,Utah,Mitt Romney,"March 26 , 2012"
