Season,Winner,Score,Runner-up
2003,FC Santa Coloma,3-2 ( aet ),UE Sant Julià
2004,UE Sant Julià,2-1,FC Santa Coloma
2005,FC Santa Coloma,1-0,UE Sant Julià
2006,FC Rànger 's,4-3 ( aet ),FC Santa Coloma
2007,FC Santa Coloma,1-0,FC Rànger 's
2008,FC Santa Coloma,3-0,UE Sant Julià
2009,UE Sant Julià,2-1,FC Santa Coloma
2010,UE Sant Julià,3-2 ( aet ),FC Santa Coloma
2011,UE Sant Julià,4-3,FC Santa Coloma
2012,FC Lusitanos,2-1,FC Santa Coloma
2013,FC Lusitanos,1-0,UE Santa Coloma
2014,UE Sant Julià,1-0,FC Santa Coloma
2015,FC Santa Coloma,1-1 ( 5-4 pen . ),UE Sant Julià
2016,UE Santa Coloma,1-0,FC Santa Coloma
2017,FC Santa Coloma,1-0 ( aet ),UE Santa Coloma
2018,UE Sant Julià,2-1,FC Santa Coloma
2019,FC Santa Coloma,2-1,UE Engordany
