Team,Winners,Winning Years
Georgetown,7,"1980 , 1982 , 1984 , 1985 , 1987 , 1989 , 2007"
Connecticut,7,"1990 , 1996 , 1998 , 1999 , 2002 , 2004 , 2011"
Syracuse,5,"1981 , 1988 , 1992 , 2005* , 2006*"
Villanova,5,"1995 , 2015 , 2017 , 2018 , 2019"
St. John 's,3,"1983 , 1986 , 2000"
Louisville,3,"2009 , 2012 , 2013"
Seton Hall,3,"1991 , 1993 , 2016"
Boston College,2,"1997 , 2001"
Pittsburgh,2,"2003 , 2008"
Providence,2,"1994 , 2014"
West Virginia,1,2010
Marquette,0,
Creighton,0,
Xavier,0,
DePaul,0,
Butler,0,
