Year,Horse,Trainer,Owner
1970,Forward Gal,Warren A. Croll Jr,Aisco Stable
1969,Fast Attack ( DRF ),Harry M. Wells,Hal-Bar Ranch
1969,Tudor Queen ( TRA ),Gil Rowntree,Stafford Farms
1968,Gallant Bloom ( DRF ),Max Hirsch,Robert J. Kelberg Jr
1968,Process Shot ( TRA ) ( TSD ),John B . Bond,M/M Sonny Werblin
1967,Queen of the Stage,Edward A. Neloy,Ogden Phipps
1966,Regal Gleam,Hirsch Jacobs,Patrice Jacobs
1965,Moccasin,Harry Trotsek,Claiborne Farm
1964,Queen Empress,William C. Winfrey,Wheatley Stable
1963,Tosmah ( DRF ) ( TSD ),Joe Mergler,Anthony Imbesi
1963,Castle Forbes ( TRA ),William C. Winfrey,Wheatley Stable
1962,Smart Deb ( DRF ) ( TRA ),Arnold N. Winick,Marion Reineman
1962,Affectionately ( TSD ),Hirsch Jacobs,Ethel D. Jacobs
1961,Cicada,Casey Hayes,Meadow Stable
1960,Bowl of Flowers,J. Elliott Burch,Brookmeade Stable
1959,My Dear Girl,Melvin Calvert,Frances A. Genter
1958,Quill,Lucien Laurin,Reginald N. Webster
1957,Idun,Sherrill W. Ward,Mrs. Charles U . Bay
1956,Leallah ( DRF ) ( TSD ),MacKenzie Miller,Charlton Clay
1956,Romanita ( TRA ),Frankie Sanders,Reverie Knoll Farm
