No,Name,Party,Date of Appointment,Date of Retirement
1,N. Chandrasegharan,All India Anna Dravida Munnetra Kazhagam,25-Jul-2019,24-Jul-2025
2,A. Mohammedjan,All India Anna Dravida Munnetra Kazhagam,25-Jul-2019,24-Jul-2025
3,S. R. Balasubramoniyan,All India Anna Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
4,A. Navaneethakrishnan,All India Anna Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
5,A. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
6,R. Vaithilingam,All India Anna Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
7,Sasikala Pushpa Ramaswamy,All India Anna Dravida Munnetra Kazhagam,03-Apr-2014,02-Apr-2020
8,Vijila Sathyananth,All India Anna Dravida Munnetra Kazhagam,03-Apr-2014,02-Apr-2020
9,S. Muthukaruppan,All India Anna Dravida Munnetra Kazhagam,03-Apr-2014,02-Apr-2020
10,K. Selvaraj,All India Anna Dravida Munnetra Kazhagam,03-Apr-2014,02-Apr-2020
11,M. Shanmugam,Dravida Munnetra Kazhagam,25-Jul-2019,24-Jul-2025
12,P. Wilson,Dravida Munnetra Kazhagam,25-Jul-2019,24-Jul-2025
13,R. S. Bharathi,Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
14,T. K. S. Elangovan,Dravida Munnetra Kazhagam,30-Jun-2016,29-Jun-2022
15,Tiruchi Siva,Dravida Munnetra Kazhagam,03-Apr-2014,02-Apr-2020
16,Anbumani Ramadoss,Pattali Makkal Katchi,25-Jul-2019,24-Jul-2025
17,Vaiko,Marumalarchi Dravida Munnetra Kazhagam,25-Jul-2019,24-Jul-2025
18,T. K. Rangarajan,Communist Party of India ( Marxist ),03-Apr-2014,02-Apr-2020
