Club,Founded,Location,Club Colours
Aspatria Hornets,1891 originally /2012 ( reformed ),"St Mungo 's Park , Aspatria",Black & Yellow
Egremont Rangers ' A ',1946,"Gillfoot Park , North Road , Egremont","Blue , Red & White"
Ellenborough Rangers,1969,"Solway Park , Grasslot , Maryport",Blue & White
Flimby,1984,"Main Road , Flimby",Red & White
Great Clifton Lions,1973,"William Street , Great Clifton",Green & Gold
Hensingham ARLFC,1900,"Richmond Hill , Hensingham , Whitehaven",Red & Black
Kells ' A ',1931,"Kells Welfare/Big Waite , Kells , Whitehaven",Red & White
Lowca,1974,"Westcroft Terrace , Lowca , Whitehaven",Black & White-
Maryport ' A ',1968,"Athletic Ground , Maryport",Blue & Yellow
Salterbeck Storm,2000,"Salterbeck Road , Workington","Black , Red & White"
