,Date,Race,Country,Winner,Team
# 1,26 February,Geelong World Cup,Australia,Ina-Yoko Teutenberg ( GER ),Team T-Mobile Women
# 2,5 March,New Zealand World Cup,New Zealand,Sarah Ulmer ( NZL ),New Zealand
# 3,2 April,Tour of Flanders for Women,Belgium,Mirjam Melchers-Van Poppel ( NED ),Buitenpoort-Flexpoint Team
# 4,19 April,La Flèche Wallonne Féminine,Belgium,Nicole Cooke ( GBR ),Univega Pro Cycling Team
# 5,23 April,Tour de Berne,Switzerland,Zulfiya Zabirova ( KAZ ),Bigla Cycling Team
# 6,7 May,GP Castilla y Leon,Spain,Nicole Cooke ( GBR ),Univega Pro Cycling Team
# 7,27 May,La Coupe du Monde Cycliste Féminine de Montréal,Canada,Judith Arndt ( GER ),Team T-Mobile Women
# 8,28 July,Open de Suède Vargarda,Sweden,Susanne Ljungskog ( SWE ),Buitenpoort-Flexpoint Team
# 9,30 July,The Ladies Golden Hour,Denmark,Team time trial,Univega Pro Cycling Team
# 10,26 August,GP de Plouay,France,Nicole Brändli ( SUI ),Bigla Cycling Team
# 11,3 September,Lowland International Rotterdam Tour,Netherlands,Ina-Yoko Teutenberg ( GER ),Team T-Mobile Women
# 12,10 September,Rund um die Nürnberger Altstadt,Germany,Regina Schleicher ( GER ),Equipe Nürnberger Versicherung
