Year,Title,Role
2019,Treadstone,Spencer
2019,Peaky Blinders,Billy Grade
2019,Krypton,Lobo
2018,Butterfly,Stephen Duffy
2018,Safe,Josh
2016,Beowulf : Return to the Shieldlands,Skellen
2015,No Offence,Andrew Curtis
2015,A.D . The Bible Continues,Saul of Tarsus
2014-2015,Constantine,Jim Corrigan
2014,Atlantis,Delmos
2014,In the Flesh,Simon
2013- 2016,The Fall,D.C. Glenn Martin
2010-2013,Hollyoaks,Brendan Brady
2012,Hollyoaks Later,Brendan Brady
2010,Hollyoaks : King of Hearts,Brendan Brady
2010,Mariana,Leonard Dalton
2010,The Guards,Diarmuid O'Briain
2009,Mattie,Paul
2009,The Phone,The Operator
2009,Marú,John Cousins
