Club,Location,Stadium,Capacity
AFC Eskilstuna,Eskilstuna,Tunavallen,"7,800"
AIK,Solna,Friends Arena,"54,000"
BK Häcken,Gothenburg,Bravida Arena,"6,500"
Djurgårdens IF,Stockholm,Tele2 Arena,"33,000"
Falkenbergs FF,Falkenberg,Falcon Alkoholfri Arena,"5,500"
GIF Sundsvall,Sundsvall,Norrporten Arena,"7,700"
Hammarby IF,Stockholm,Tele2 Arena,"33,000"
Helsingborgs IF,Helsingborg,Olympia,"16,500"
IF Elfsborg,Borås,Borås Arena,"16,899"
IFK Göteborg,Gothenburg,Gamla Ullevi,"18,900"
IFK Norrköping,Norrköping,Östgötaporten,"15,734"
IK Sirius,Uppsala,Studenternas IP,"6,300"
Kalmar FF,Kalmar,Guldfågeln Arena,"12,182"
Malmö FF,Malmö,Eleda Stadion,"22,500"
Örebro SK,Örebro,Behrn Arena,"12,645"
Östersunds FK,Östersund,Jämtkraft Arena,"9,500"
