Name,Party,Group
Elena Antonescu,Democratic Liberal Party,Group of the European People 's Party
Elena Băsescu,Democratic Liberal Party,Group of the European People 's Party
George Becali,Greater Romania Party,-
Sebastian Bodu,Democratic Liberal Party,Group of the European People 's Party
Victor Boştinaru,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Cristian Bușoi,National Liberal Party,Group of the Alliance of Liberals and Democrats for Europe
Corina Crețu,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Sabin Cutaș,Conservative Party,Progressive Alliance of Socialists and Democrats
Viorica Dăncilă,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Ioan Enciu,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Cătălin Ivan,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Petru Luhan,Democratic Liberal Party,Group of the European People 's Party
Monica Macovei,Democratic Liberal Party,Group of the European People 's Party
Marian-Jean Marinescu,Democratic Liberal Party,Group of the European People 's Party
Ramona Mănescu,National Liberal Party,Group of the Alliance of Liberals and Democrats for Europe
Iosif Matula,Democratic Liberal Party,Group of the European People 's Party
Norica Nicolai,National Liberal Party,Group of the Alliance of Liberals and Democrats for Europe
Rareş Niculescu,Democratic Liberal Party,Group of the European People 's Party
Ioan Mircea Paşcu,Social Democratic Party,Progressive Alliance of Socialists and Democrats
Rovana Plumb,Social Democratic Party,Progressive Alliance of Socialists and Democrats
