Title,Year,Notes
Antiques Roadshow,1979-present,St. George 's Hall has been used as a location on several occasions
Between the Lines,1992,The episode Lest Ye Be Judged was set in and around Liverpool and New Brighton
Boys,2020,"Channel 4 drama set in the 1980s staring Keeley Hawes , Stephen Fry & Neil Patrick Harris . The Pier Head doubled for New York"
Boys from the Blackstuff,1982,Five episodes running from 10 October to 7 November 1982
Bread,1986-1991,Filmed in and around the Dingle area of the city
Broadchurch,2017,"ITV drama , scenes for series 3 were filmed at the Liverpool docks"
Broken,2016,BBC Jimmy McGovern drama starring Sean Bean and Anna Friel
Brookside,1982-2003,Channel 4 soap opera set in a fictional Liverpool street
Bulletproof,2017,"Sky drama , filmed in County Sessions House as well as several streets around Liverpool and the Birkenhead tunnel"
The Bullion Boys,1993,Television drama based on the true story of how Britain 's gold reserves were moved to Liverpool during the Second World War
Casualty,2011,"Used Liverpool Lime Street station and various locations in Anfield for an episode in Series 26 of the long-running series , which is usually filmed in Cardiff"
The City & the City,2017,"Used Liverpool Town Hall , Old Hall Street , Cotton Exchange , County Sessions House and Martins Bank Building"
The Crown,2018,"Netflix historical drama based on the life of Queen Elizabeth II . Liverpool doubled for 1960s Washington DC with the Cunard Building , Royal Liver Building and North John Street being used"
Close to the Enemy,2016,"Martins Bank Building , the Adelphi , Croxteth Hall and the docks were all used for post-WW2 Britain"
Curfew,2018,"Water Street , Rumford Street and Formby Beach were used in for the filming of the Sky One / NOW TV drama"
Das Boot,2019,German TV series based on the Lothar-Gunther Buchheim novel . The Cunard Building and Water Street were turned into 1940s New York and the sandhills in Sefton were used for the US state of Maine
Desperate Scousewives,2011,Structured reality television series following the next generation of Liverpudlians determined to show the UK just what they 're all about
The English Game,2019,"A six-part Netflix drama created by Downton Abbey creator Julian Fellowes , charting the origins and development of football"
A Family at War,1970-1972,
The Feed,2019,"Liverpool doubled as London for exterior filming for the Amazon Prime drama , with shooting taking place around the Pier Head"
