Name,District,Territory,Pop . 2010
Bagata,Kwilu District,Bagata Territory,"18,938"
Bandundu,Mai-Ndombe District,( city ),"137,460"
Bolobo,Plateaux District,Bolobo Territory,"31,735"
Bulungu,Kwilu District,Bulungu Territory,"54,880"
Dibaya-Lubwe,Kwilu District,Idiofa Territory,"42,390"
Feshi,Kwango District,Feshi Territory,"7,591"
Gungu,Kwilu District,Gungu Territory,"22,946"
Idiofa,Kwilu District,Idiofa Territory,"58,637"
Inongo,Mai-Ndombe District,Inongo Territory,"46,657"
Kahemba,Kwango District,Kahemba Territory,"18,061"
Kasongo-Lunda,Kwango District,Kasongo-Lunda Territory,"22,860"
Kenge,Kwango District,Kenge Territory,"42,884"
Kikwit,Kwilu District,( city ),"370,328"
Kiri,Mai-Ndombe District,Kiri Territory,"14,033"
Kutu,Mai-Ndombe District,Kutu Territory,"37,405"
Mangai,Kwilu District,Idiofa Territory,"41,155"
Masi-Manimba,Kwilu District,Masi-Manimba Territory,"30,542"
Mushie,Plateaux District,Mushie Territory,"42,409"
Oshwe,Mai-Ndombe District,Oshwe Territory,"21,681"
Popokabaka,Kwango District,Popokabaka Territory,"12,564"
