Name,Born,Joined,Term ends,Mandatory retirement,Law School attended,Party
"Linda M. McGee , Chief Judge",1949,1995,2020,"Sept. 20 , 2021",North Carolina,Dem
John S. Arrowood,1956,"2007-08 , 2017",2026,2028,North Carolina,Dem
Phil Berger Jr,1972,2017,2024,2044,Wake Forest,Rep
Christopher Brook,,2019,2020,,North Carolina,Dem
Wanda G. Bryant,1956,"2001-02 , 2005",2020,"June 26 , 2028",North Carolina Central,Dem
Allegra Collins,1972,2019,2026,"Jan. 30 , 2044",Campbell,Dem
Richard Dietz,1977,2014,2024,"Feb. 1 , 2049",Wake Forest,Rep
Chris Dillon,1965,2013,2020,"April 20 , 2037",North Carolina,Rep
Toby Hampson,1975,2019,2026,"Dec. 20 , 2047",Campbell,Dem
Lucy Inman,est . 1962,2015,2022,est . 2034,North Carolina,Dem
Hunter Murphy,1981,2017,2024,"Jan 24 , 2053",University of the Pacific,Rep
Donna Stroud,1964,2007,2022,"June 28 , 2036",Campbell,Rep
John M. Tyson,1953,"2001-09 , 2015",2022,"July 14 , 2025",Campbell,Rep
Reuben Young,,2019,2020,,North Carolina Central,Dem
Valerie Zachary,1962,2015,2024,2034,Harvard,Rep
