Date,Country,City,Deaths,Type
Dec. 6,Colombia,Bogotá,52,truck bomb
Nov. 22,Lebanon,Beirut,24,car bomb
April 14,Sri Lanka,Trincomalee,38,car bomb
July 8,Afghanistan,Jalalabad,31,truck bomb
April 23,Lebanon,Tripoli,60,truck bomb
April 14,Italy,"USO Club , Naples",5,car bomb
Feb. 17,South Africa,"Oshakati , South-West Africa",27,car bomb
Dec. 11,Spain,Zaragoza,11,car bomb
Oct. 8,Afghanistan,Kabul,27,car bomb
July 14,Pakistan,Karachi,72,car bombs ( 2 )
July 5,Sri Lanka,"Army camp , Jaffna",40,truck bomb
June 19,Spain,Barcelona,21,car bomb
April 21,Sri Lanka,Colombo,106,car bomb
Aug. 19,Iran,Tehran,20,car bomb
July 14,Spain,Madrid,12,car bomb
March 27,Australia,"Victoria Police HQ , Melbourne",1,car bomb
March 17,Syria,"Military compound , Damascus",60,truck bomb
Aug. 17,Lebanon,"Market , Beirut",55,car bomb
May 22,Lebanon,Beirut,50,car bomb
March 8,Lebanon,Beirut,80,car bomb
