Pick #,MLS team,Player,Position,Affiliation
25,Miami Fusion,David Wright,D,Creighton University
26,Colorado Rapids,Jeff DiMaria,F,Saint Louis University
27,D.C. United,* Sergio Salas,F,Project-40
28,San Jose Earthquakes,Jon Conway,GK,Rutgers University
29,Los Angeles Galaxy,José Retiz,M,Rancho Santiago - Santa Ana
30,Kansas City Wizards,Kerry Zavagnin,D,Lehigh Valley Steam ( A-League )
31,New England Revolution,* Shaker Asad,M,North Carolina State University
32,Chicago Fire,Yuri Lavrinenko,M,Indiana University
33,Columbus Crew,Brian Winters,M,University of Portland
34,Dallas Burn,Steve Bernal,D,Creighton University
35,Miami Fusion,* Nick Rimando,GK,UCLA
36,New England Revolution,Fabio Zúñiga,F,Raritan Valley Community College
