Year,Artist,Album,Label,Shipments ( Sales ),Certification
1994,Hootie & the Blowfish,Cracked Rear View,Atlantic,"( 14,580,000 )",21× Platinum
1972,Simon & Garfunkel,Simon and Garfunkel 's Greatest Hits,Columbia,"14,000,000",14× Platinum
1977,Meat Loaf,Bat Out of Hell,Epic Records,"14,000,000",14× Platinum
1978,Steve Miller Band,Greatest Hits 1974-78,Capitol,"14,000,000",14× Platinum
1999,Backstreet Boys,Millennium,Jive,"( 13,890,000 )",13× Platinum
1992,Soundtrack / Whitney Houston,The Bodyguard,Arista,"( 13,450,000 )",18× Platinum
1999,Santana,Supernatural,Arista,"( 13,110,000 )",15× Platinum
1984,Prince and the Revolution,Purple Rain,Warner Bros,"13,000,000",13× Platinum
1985,Whitney Houston,Whitney Houston,Arista,"13,000,000",13× Platinum
2000,Eminem,The Marshall Mathers LP,Aftermath,"( 12,940,000 )",10× Platinum ( as of 2011 )
2000,The Beatles,1,Apple /EMI/ Capitol,"( 12,800,000 )",11× Platinum ( as of 2010 )
2000,NSYNC,No Strings Attached,Jive,"( 12,680,000 )",11× Platinum ( as of 2001 )
1999,Britney Spears,... Baby One More Time,Jive,"( 12,200,000 )",14× Platinum
1968,The Beatles,The Beatles,Capitol,"12,000,000",24× Platinum ( 2-disc album )
1969,The Beatles,Abbey Road,Apple,"12,000,000",12× Platinum
1969,Led Zeppelin,Led Zeppelin II,Atlantic,"12,000,000",12× Platinum
1980,Kenny Rogers,Greatest Hits,Liberty,"12,000,000",12× Platinum
1985,Phil Collins,No Jacket Required,Atlantic,"12,000,000",12× Platinum
1986,Bon Jovi,Slippery When Wet,Mercury Records,"12,000,000",12× Platinum
1987,Def Leppard,Hysteria,Mercury Records,"12,000,000",12× Platinum
