Institution,Location,Country
"Isfahan University of Technology , Department of Mining Engineering",Isfahan,Iran
"University of Moratuwa , Department of Earth Resources Engineering",Moratuwa,Sri Lanka
"Shahid Bahonar University of Kerman , Department of Mining Engineering",Kerman,Iran
Department of Mining Engineering,"University of Engineering & Technology , Lahore",Pakistan
Department of Petroleum and Mining Engineering,Chittagong University of Engineering & Technology,Bangladesh
Department of Mining Engineering,"Indian Institute of Technology , Kharagpur",India
Department of Mining Engineering,Birsa Institute of Technology Sindri,India
Department of Mining Engineering,Indian Institute of Technology ( BHU ) Varanasi,India
"Department of Mining Engineering , Department of Mining Machinery Engineering , Centre of Mining Environment",Indian Institute of Technology Dhanbad,India
Department of Mining Engineering,Government Polytechnic Bhaga,India
Department of Mining Engineering,"National Institute of Technology , Rourkela",India
Department of Mining Engineering,"National Institute of Technology , Raipur",India
Department of Mining Engineering,"National Institute of Technology , Karnataka",India
Department of Mining Engineering,Visvesvaraya National Institute of Technology,India
Department of Mining Engineering,"University College of Engineering , Kakatiya University",India
Department of Mining Engineering,JNTUH College of Engineering Manthani,India
Mehran University of Engineering and Technology,Jamshoro Sindh,Pakistan
Department of Mining Engineering,"Indian Institute of Engineering Science and Technology , Shibpur",India
Shahjalal University of Science and Technology,,Bangladesh
"Mining Department , Faculty of Mining and Petroleum Engineering",Institut Teknologi Bandung,Indonesia
