Rank,Airport,City served,Country,Passengers,Annual change
1,São Paulo-Guarulhos International Airport,São Paulo,Brazil,"36,460,923",13.31%
2,Mexico City International Airport,Mexico City,Mexico,"31,534,638",6.93%
3,El Dorado International Airport,Bogotá,Colombia,"25,009,483",11.02%
4,São Paulo-Congonhas Airport,São Paulo,Brazil,"17,119,530",2.04%
5,Rio de Janeiro-Galeão International Airport,Rio de Janeiro,Brazil,"17,115,368",2.15%
6,Brasília International Airport,Brasília,Brazil,"16,489,987",5.26%
7,Cancún International Airport,Cancún,Mexico,"15,962,162",10.36%
8,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,"15,312,649",8.07%
9,Jorge Chávez International Airport,Lima,Peru,"14,908,772",11.84%
10,Simón Bolívar International Airport,Caracas,Venezuela,"11,230,000",7.66%
